method,outer_domain,inner_domain,pca_dimension,mae,fit_sample_count,query_sample_count,fit_domains,pca_state_sha256,ridge_state_sha256,state_sha256
dinov2_global,xcmzfsbd9t,cgtnjyggtm,8,0.13240539601308338,168,49,"[""74t7kcdgkr"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",8cc09f03bdf769f8cc249626992ec84d00ddecedb9e4059cb1b19b6b68eb8cd8,bcd1a1ea65ab653d03c1fd575a8b64400af1fbd705cc3c3f9e2938118eaf1d4e,82cb7524ec5c2d8badbe09693be6f4aaf68ecf61ef725f17c84ceae00ee3948c
dinov2_global,xcmzfsbd9t,cgtnjyggtm,16,0.12930129909114982,168,49,"[""74t7kcdgkr"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",8cc09f03bdf769f8cc249626992ec84d00ddecedb9e4059cb1b19b6b68eb8cd8,94331c73851ca8d0593597b05e12db216d9432e7651fd4c559e36b50ab740c9a,f1f7524dfc7cb507868c7b437c7f0c01d394ac25b6ee31d56d2cdcd611b432e0
dinov2_global,xcmzfsbd9t,cgtnjyggtm,32,0.1364450675831225,168,49,"[""74t7kcdgkr"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",8cc09f03bdf769f8cc249626992ec84d00ddecedb9e4059cb1b19b6b68eb8cd8,6988a78003d774e133aa597cde86506478704653a811b2760f88ff70e86edc0e,30de17683fdc7484fe98bbbcf3604a0912a34b6ffdd94255d6dac92058ca2421
dinov2_global,xcmzfsbd9t,w68dtmpfyf,8,0.10101310645283318,174,43,"[""74t7kcdgkr"",""cgtnjyggtm"",""yfxyg8jm46"",""ykhs7s2dck""]",5aed828db37266e60b1d8808562dae965181c587abf58b2aa966151a8415821c,e43fbea3941d1e8bfe00b9d848958de2b550fd1b75e15aa6915ede83f16bdfa4,ba914a60b77faa5d69a31467f952940c52e02c124dcfb6be40a68910d26dfa37
dinov2_global,xcmzfsbd9t,w68dtmpfyf,16,0.10163735339879323,174,43,"[""74t7kcdgkr"",""cgtnjyggtm"",""yfxyg8jm46"",""ykhs7s2dck""]",5aed828db37266e60b1d8808562dae965181c587abf58b2aa966151a8415821c,663ce9ce783d4c722e34b656d4c8566a8e1d13273c3ff6e01e1b21446413ee5e,495fbc4b096acd69d2441149f3c6a735e27ed33c063dd4f1eb185c9a2ae316ea
dinov2_global,xcmzfsbd9t,w68dtmpfyf,32,0.0938477885848267,174,43,"[""74t7kcdgkr"",""cgtnjyggtm"",""yfxyg8jm46"",""ykhs7s2dck""]",5aed828db37266e60b1d8808562dae965181c587abf58b2aa966151a8415821c,4cd24ceb93e3fae907f6797ee6bc46cb19f520135282be5a3de80b21a4732087,d138a471a67b5916883248f74b9eb27a2f43fab287ccec0ed7953aa0992b3ad3
dinov2_global,xcmzfsbd9t,yfxyg8jm46,8,0.19263415264890224,175,42,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""ykhs7s2dck""]",ef902fc9823719e42016809bb80731e236f76857af9c58854e21499b5b639084,d64498c960ca32bf2d66072d18bbfe3addb8c0accddeb5deabc08c2a4b576b62,44b0829d63d1bfd3f0baf5c66b4ef08064d3906a732ba06f93e22acc6b601045
dinov2_global,xcmzfsbd9t,yfxyg8jm46,16,0.18601450132754999,175,42,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""ykhs7s2dck""]",ef902fc9823719e42016809bb80731e236f76857af9c58854e21499b5b639084,5d8f7d68a5d565b6685f48e03bb24e806f10877c5806b831b7001f58b6f9a56e,fdd4cc0349c084373b939ee894bca7fd399b88e9d9076abd63c96043af51bb3a
dinov2_global,xcmzfsbd9t,yfxyg8jm46,32,0.1724457707236738,175,42,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""ykhs7s2dck""]",ef902fc9823719e42016809bb80731e236f76857af9c58854e21499b5b639084,a55498d6737e7086022dd36273a3172e690df6f5050cf4f7384e15fd38aa9634,e2648937e464ddf16d42891d1332ac64410b48d828177902b0041cb0e031060e
dinov2_global,xcmzfsbd9t,ykhs7s2dck,8,0.3402568000453829,179,38,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46""]",c2df949d5fa9927746e5bb377f9260b85c189540c05bbd9a721968f415715c21,98970952d448980b87e6b786b2325f6643f19f5a265a9c6e561afa64e202811b,729813bc8009016419f47baae7c72b6032634a2def8fbd5ca717655ad27a13da
dinov2_global,xcmzfsbd9t,ykhs7s2dck,16,0.32982961779873887,179,38,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46""]",c2df949d5fa9927746e5bb377f9260b85c189540c05bbd9a721968f415715c21,9bfb93c14505573c923a0309250fd4d384558415c13b33bd5652a12c2a04e7d4,62041a2d8a06599daefa71a87a4f269865a1c0513bc0f96ab81ddcd989cfd74e
dinov2_global,xcmzfsbd9t,ykhs7s2dck,32,0.2493096247893223,179,38,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46""]",c2df949d5fa9927746e5bb377f9260b85c189540c05bbd9a721968f415715c21,e66f369e7fd8295c70afa21dbecfbe9aa0046eff7d4bf608becd7c2d68d1ca34,90923be77e6e3c3e9abf2dc3a19f727b619da24d8b2ec547fd7d5358f300fdf8
dinov2_global,yfxyg8jm46,74t7kcdgkr,8,0.08404928011226973,189,45,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",0c7af0ad7015c9692573fa47ab125a7c716b00bbb7f6457369ced8545cdb03d5,7c7244323cc0092411141bcec8e9619cb3005444b725e55da8016c8f35dd54d0,76b98056f0d7e89862d72376c62c850985497c2f15e81e7b2d3d891843edeec3
