schema_version,dataset_id,specimen_id,specimen_key,task,method,seed,reference_version,analysis_scope,comparator,diverged,common_prefix_action_count,first_divergence_step,bc_action,p8_action,bc_pre_divergence_cost,p8_pre_divergence_cost,bc_pre_divergence_success,p8_pre_divergence_success,divergence_before_either_s_bc_stop
1,xcmzfsbd9t,c24-39,xcmzfsbd9t:c24-39,LOCATE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,3,3,"[36, 0, 1]","[34, -1, 0]",0.0007737113968567975,0.0007737113968567975,False,False,True
1,xcmzfsbd9t,c24-49,xcmzfsbd9t:c24-49,CHARACTERIZE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,4,4,"[39, -1, 0]","[45, -1, 0]",0.0010154962083745466,0.0010154962083745466,False,False,True
1,xcmzfsbd9t,c24-49,xcmzfsbd9t:c24-49,CHARACTERIZE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,1,1,"[37, -1, 0]","[36, -1, 0]",0.0002659632926695241,0.0002659632926695241,False,False,True
1,xcmzfsbd9t,c24-49,xcmzfsbd9t:c24-49,CHARACTERIZE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,4,4,"[35, 0, 1]","[45, -1, 0]",0.0010154962083745466,0.0010154962083745466,False,False,True
1,xcmzfsbd9t,c24-49,xcmzfsbd9t:c24-49,LOCATE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,4,4,"[39, -1, 0]","[45, -1, 0]",0.0010154962083745466,0.0010154962083745466,False,False,True
1,xcmzfsbd9t,c24-49,xcmzfsbd9t:c24-49,LOCATE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,1,1,"[37, -1, 0]","[36, -1, 0]",0.0002659632926695241,0.0002659632926695241,False,False,True
1,xcmzfsbd9t,c24-49,xcmzfsbd9t:c24-49,LOCATE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,4,4,"[35, 0, 1]","[45, -1, 0]",0.0010154962083745466,0.0010154962083745466,False,False,True
1,xcmzfsbd9t,c24-54,xcmzfsbd9t:c24-54,CHARACTERIZE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,5,5,"[46, -1, 0]","[40, -1, 0]",0.0012572810198922958,0.0012572810198922958,False,False,True
1,xcmzfsbd9t,c24-54,xcmzfsbd9t:c24-54,CHARACTERIZE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,6,6,"[37, 0, 1]","[34, -1, 0]",0.0015716012748653698,0.0015716012748653698,False,False,True
1,xcmzfsbd9t,c24-54,xcmzfsbd9t:c24-54,CHARACTERIZE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,6,6,"[35, 0, 1]","[34, -1, 0]",0.0015716012748653698,0.0015716012748653698,False,False,True
1,xcmzfsbd9t,c24-54,xcmzfsbd9t:c24-54,LOCATE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,5,5,"[46, -1, 0]","[40, -1, 0]",0.0012572810198922958,0.0012572810198922958,False,False,True
1,xcmzfsbd9t,c24-54,xcmzfsbd9t:c24-54,LOCATE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,6,6,"[37, 0, 1]","[34, -1, 0]",0.0015716012748653698,0.0015716012748653698,False,False,True
