axis,outer_group,condition_id,selected_pca_dimension,source_equal_group_mae,dimension_scores_json
gaussian,ykhs7s2dck,gaussian:sigma=3,8,0.10858221811170128,"[[8,0.10858221811170128],[16,0.11019667857580825],[32,0.1232613834557756]]"
gaussian,ykhs7s2dck,gaussian:sigma=4,8,0.1073095956578819,"[[8,0.1073095956578819],[16,0.10914679033698857],[32,0.12028945331078415]]"
gaussian,ykhs7s2dck,gaussian:sigma=6,16,0.11406244607892183,"[[8,0.11565228192584595],[16,0.11406244607892183],[32,0.1251699587430613]]"
gaussian,ykhs7s2dck,gaussian:sigma=8,16,0.11588311727198866,"[[8,0.11749840378323162],[16,0.11588311727198866],[32,0.12100706478774512]]"
wavelet,74t7kcdgkr,wavelet:db2:low_only:level=0,8,0.10599143059440752,"[[8,0.10599143059440752],[16,0.1081246521323382],[32,0.1137477960688634]]"
wavelet,74t7kcdgkr,wavelet:db2:low_only:level=1,8,0.10607689115859713,"[[8,0.10607689115859713],[16,0.11099779458603483],[32,0.11465629845765216]]"
wavelet,74t7kcdgkr,wavelet:db2:low_only:level=2,8,0.1080379845755984,"[[8,0.1080379845755984],[16,0.11770343289541166],[32,0.12337400281798112]]"
wavelet,74t7kcdgkr,wavelet:db2:low_only:level=3,8,0.10678821496393467,"[[8,0.10678821496393467],[16,0.11102574088610513],[32,0.11526876562629515]]"
wavelet,74t7kcdgkr,wavelet:haar:low_only:level=1,8,0.10519817792329751,"[[8,0.10519817792329751],[16,0.10677410148990696],[32,0.11283411346432162]]"
wavelet,74t7kcdgkr,wavelet:haar:low_only:level=2,8,0.10739382762434795,"[[8,0.10739382762434795],[16,0.11546040742972388],[32,0.1256597024144739]]"
wavelet,74t7kcdgkr,wavelet:haar:low_only:level=3,8,0.1132429642629309,"[[8,0.1132429642629309],[16,0.11834751539490096],[32,0.11782247003644934]]"
wavelet,74t7kcdgkr,wavelet:db4:low_only:level=1,8,0.10513002157201104,"[[8,0.10513002157201104],[16,0.1095537457805722],[32,0.11421202295525404]]"
wavelet,74t7kcdgkr,wavelet:db4:low_only:level=2,8,0.10638598597566387,"[[8,0.10638598597566387],[16,0.1155333817391773],[32,0.11834664365773509]]"
wavelet,74t7kcdgkr,wavelet:db4:low_only:level=3,8,0.11085913288272906,"[[8,0.11085913288272906],[16,0.11842089456002444],[32,0.12141904411383883]]"
wavelet,74t7kcdgkr,wavelet:db2:low_plus_boundary_details:level=1,8,0.10599143059440752,"[[8,0.10599143059440752],[16,0.1081246521323382],[32,0.1137477960688634]]"
wavelet,74t7kcdgkr,wavelet:db2:low_plus_boundary_details:level=2,8,0.10607557482824168,"[[8,0.10607557482824168],[16,0.11099760972744892],[32,0.11465512921569336]]"
wavelet,74t7kcdgkr,wavelet:db2:low_plus_boundary_details:level=3,8,0.1080379845755984,"[[8,0.1080379845755984],[16,0.11770343289541166],[32,0.12337400281798112]]"
wavelet,74t7kcdgkr,wavelet:haar:low_plus_boundary_details:level=1,8,0.10599143059440752,"[[8,0.10599143059440752],[16,0.1081246521323382],[32,0.1137477960688634]]"
wavelet,74t7kcdgkr,wavelet:haar:low_plus_boundary_details:level=2,8,0.10523868064375681,"[[8,0.10523868064375681],[16,0.10679973263617211],[32,0.11285521097289641]]"
wavelet,74t7kcdgkr,wavelet:haar:low_plus_boundary_details:level=3,8,0.10740974706194409,"[[8,0.10740974706194409],[16,0.11548994911074464],[32,0.12566915851187135]]"
wavelet,74t7kcdgkr,wavelet:db4:low_plus_boundary_details:level=1,8,0.10599143059440752,"[[8,0.10599143059440752],[16,0.1081246521323382],[32,0.1137477960688634]]"
wavelet,74t7kcdgkr,wavelet:db4:low_plus_boundary_details:level=2,8,0.10513002157201104,"[[8,0.10513002157201104],[16,0.1095537457805722],[32,0.11421202295525404]]"
wavelet,74t7kcdgkr,wavelet:db4:low_plus_boundary_details:level=3,8,0.10638598597566387,"[[8,0.10638598597566387],[16,0.1155333817391773],[32,0.11834664365773509]]"
wavelet,cgtnjyggtm,wavelet:db2:low_only:level=0,32,0.07848914726964269,"[[8,0.08166414414961753],[16,0.08102925403387273],[32,0.07848914726964269]]"
wavelet,cgtnjyggtm,wavelet:db2:low_only:level=1,32,0.07864246611989456,"[[8,0.08390892068002574],[16,0.08317310661065823],[32,0.07864246611989456]]"
wavelet,cgtnjyggtm,wavelet:db2:low_only:level=2,32,0.08895500584452302,"[[8,0.09057309939686489],[16,0.09440874999349502],[32,0.08895500584452302]]"
wavelet,cgtnjyggtm,wavelet:db2:low_only:level=3,16,0.09326317500484327,"[[8,0.09679555587109397],[16,0.09326317500484327],[32,0.09496062187501494]]"
wavelet,cgtnjyggtm,wavelet:haar:low_only:level=1,32,0.07812391986431891,"[[8,0.08286015778182823],[16,0.07988605874310377],[32,0.07812391986431891]]"
wavelet,cgtnjyggtm,wavelet:haar:low_only:level=2,8,0.08942295779778224,"[[8,0.08942295779778224],[16,0.09302499170651499],[32,0.09169078161692926]]"
wavelet,cgtnjyggtm,wavelet:haar:low_only:level=3,32,0.08816093780771402,"[[8,0.11094542379297472],[16,0.09596759185200958],[32,0.08816093780771402]]"
wavelet,cgtnjyggtm,wavelet:db4:low_only:level=1,32,0.07832113020737912,"[[8,0.08335759781064178],[16,0.0819344896557605],[32,0.07832113020737912]]"
wavelet,cgtnjyggtm,wavelet:db4:low_only:level=2,32,0.08728598119690897,"[[8,0.0907030552217721],[16,0.0932709125457876],[32,0.08728598119690897]]"
wavelet,cgtnjyggtm,wavelet:db4:low_only:level=3,32,0.0927549278051628,"[[8,0.10408872680599357],[16,0.10052046329857875],[32,0.0927549278051628]]"
wavelet,cgtnjyggtm,wavelet:db2:low_plus_boundary_details:level=1,32,0.07848914726964269,"[[8,0.08166414414961753],[16,0.08102925403387273],[32,0.07848914726964269]]"
wavelet,cgtnjyggtm,wavelet:db2:low_plus_boundary_details:level=2,32,0.07864294359719434,"[[8,0.08390886963062452],[16,0.08317346734865833],[32,0.07864294359719434]]"
wavelet,cgtnjyggtm,wavelet:db2:low_plus_boundary_details:level=3,32,0.08895500584452302,"[[8,0.09057309939686489],[16,0.09440874999349502],[32,0.08895500584452302]]"
wavelet,cgtnjyggtm,wavelet:haar:low_plus_boundary_details:level=1,32,0.07848914726964269,"[[8,0.08166414414961753],[16,0.08102925403387273],[32,0.07848914726964269]]"
wavelet,cgtnjyggtm,wavelet:haar:low_plus_boundary_details:level=2,32,0.07812785169607621,"[[8,0.08282319468803215],[16,0.07984212673826671],[32,0.07812785169607621]]"
wavelet,cgtnjyggtm,wavelet:haar:low_plus_boundary_details:level=3,8,0.08942704732262087,"[[8,0.08942704732262087],[16,0.0930241655023328],[32,0.0916703125189594]]"
wavelet,cgtnjyggtm,wavelet:db4:low_plus_boundary_details:level=1,32,0.07848914726964269,"[[8,0.08166414414961753],[16,0.08102925403387273],[32,0.07848914726964269]]"
wavelet,cgtnjyggtm,wavelet:db4:low_plus_boundary_details:level=2,32,0.07832113020737912,"[[8,0.08335759781064178],[16,0.0819344896557605],[32,0.07832113020737912]]"
wavelet,cgtnjyggtm,wavelet:db4:low_plus_boundary_details:level=3,32,0.08728598119690897,"[[8,0.0907030552217721],[16,0.0932709125457876],[32,0.08728598119690897]]"
wavelet,w68dtmpfyf,wavelet:db2:low_only:level=0,8,0.08688133296956364,"[[8,0.08688133296956364],[16,0.0920180876256058],[32,0.09924268138446814]]"
wavelet,w68dtmpfyf,wavelet:db2:low_only:level=1,8,0.08856242623343963,"[[8,0.08856242623343963],[16,0.09437504926935116],[32,0.1008986725629288]]"
wavelet,w68dtmpfyf,wavelet:db2:low_only:level=2,8,0.08865237709515164,"[[8,0.08865237709515164],[16,0.09510644389341125],[32,0.10204455726447459]]"
wavelet,w68dtmpfyf,wavelet:db2:low_only:level=3,16,0.0941596909413805,"[[8,0.09776586898974095],[16,0.0941596909413805],[32,0.09957392711106419]]"
wavelet,w68dtmpfyf,wavelet:haar:low_only:level=1,8,0.08691097775927113,"[[8,0.08691097775927113],[16,0.09406201326915638],[32,0.0970623783853419]]"
wavelet,w68dtmpfyf,wavelet:haar:low_only:level=2,8,0.08807067329212642,"[[8,0.08807067329212642],[16,0.09543750435443754],[32,0.10156049922507007]]"
wavelet,w68dtmpfyf,wavelet:haar:low_only:level=3,32,0.09526765458062328,"[[8,0.10312095878789554],[16,0.10066208801724437],[32,0.09526765458062328]]"
wavelet,w68dtmpfyf,wavelet:db4:low_only:level=1,8,0.08721107705174366,"[[8,0.08721107705174366],[16,0.0930268858386394],[32,0.09850255767473544]]"
wavelet,w68dtmpfyf,wavelet:db4:low_only:level=2,8,0.09063011151928865,"[[8,0.09063011151928865],[16,0.09409914371545017],[32,0.09943616254098778]]"
wavelet,w68dtmpfyf,wavelet:db4:low_only:level=3,8,0.09690923769196225,"[[8,0.09690923769196225],[16,0.09854321260684637],[32,0.1018869460495054]]"
wavelet,w68dtmpfyf,wavelet:db2:low_plus_boundary_details:level=1,8,0.08688133296956364,"[[8,0.08688133296956364],[16,0.0920180876256058],[32,0.09924268138446814]]"
wavelet,w68dtmpfyf,wavelet:db2:low_plus_boundary_details:level=2,8,0.08856247763505702,"[[8,0.08856247763505702],[16,0.09437476587185369],[32,0.10089844460145761]]"
wavelet,w68dtmpfyf,wavelet:db2:low_plus_boundary_details:level=3,8,0.08865237709515164,"[[8,0.08865237709515164],[16,0.09510644389341125],[32,0.10204455726447459]]"
wavelet,w68dtmpfyf,wavelet:haar:low_plus_boundary_details:level=1,8,0.08688133296956364,"[[8,0.08688133296956364],[16,0.0920180876256058],[32,0.09924268138446814]]"
wavelet,w68dtmpfyf,wavelet:haar:low_plus_boundary_details:level=2,8,0.08685389829684492,"[[8,0.08685389829684492],[16,0.09405120805060405],[32,0.09707653236522376]]"
