annotation_status,channels,dataset_id,exif_orientation,format,height_px,image_frame_physical_extent_status,metadata_keys,metadata_status,mode,orientation_status,physical_extent_status,published_specimen_height_mm,published_specimen_width_mm,sha256,specimen_boundary_status,specimen_boundary_visibility,specimen_id,visible_annotations,width_px
UNKNOWN,3,cgtnjyggtm,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,03dff5972c5cf0238fd751b56bd78b3bc09f0f4e13cd10dbb66db4cc16514248,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,q24-14,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,cgtnjyggtm,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,081f9de52a4be0add35cff8d04307ec52b2efc68b658bd639e2846ec317b1231,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,q24-30,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,cgtnjyggtm,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,1663c4723b7328f4269482673d3f1004424a36cb01c02aec5762b2a4316d5a31,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,q24-23,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,cgtnjyggtm,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,27c94f8ef0c925784ca7fa296135c927dad9d539bdc20288780ec9cca2a84329,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,q24-25,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,cgtnjyggtm,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,2938082a1f78a84a38b31dd5f14fa8ec9e09d5e1f10634dd18be8cf14cd3501e,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,q24-16,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,cgtnjyggtm,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,2fc77c77f50026053edefb416c8f7ce1e0f5359efb2563805bdb7ad04d4f709c,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,q24-6,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,cgtnjyggtm,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,30fefa69accd60e954cc50ca18fb33787e0da30e2d8149ce76953cbb2270e546,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,q24-38,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,cgtnjyggtm,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,328cf2d21150686f864f24f9d7575f2569c6985d126ada09b932966a485e9c1c,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,q24-40,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,cgtnjyggtm,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,34600ca09fdde8eb983f515056f9c68de095c71b215194337fb539a64d49794f,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,q24-37,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,cgtnjyggtm,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,3d3121674475634415cade47f53b5e5e3f565d5b5f083d452f94579fccfefac0,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,q24-5,UNKNOWN_NOT_MACHINE_VERIFIED,3357
