config_id,family,alpha,loss,ranking_lambda,parameter_count,outer_domain,mode,validation_domain,fit_domains,validation_specimen_count,ndcg_10,spearman,model_state_sha256,selected,mean_ndcg_10,mean_spearman
mlp_huber_rank_1,mlp,,huber_rank,1.0,37393,74t7kcdgkr,global_candidate,EQUAL_SOURCE_MEAN,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,0.6610718632884842,0.025133728801357513,,false,0.6610718632884842,0.025133728801357513
ridge_alpha_0.1,ridge,0.1,value_regression,0.0,9,74t7kcdgkr,candidate_only,cgtnjyggtm,w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,49,0.7294765472388859,0.04460454511474919,c04f0a16cde3ebe84fe65da3e6098117bc4a0a086f3f7cdf435e1ff30effa422,true,,
ridge_alpha_0.1,ridge,0.1,value_regression,0.0,9,74t7kcdgkr,candidate_only,w68dtmpfyf,cgtnjyggtm|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,43,0.672773224300546,-0.083307777493824,f1c5cfb331f456fad500613a5c915f157f92406600e98646fbf987076608b5cf,true,,
ridge_alpha_0.1,ridge,0.1,value_regression,0.0,9,74t7kcdgkr,candidate_only,xcmzfsbd9t,cgtnjyggtm|w68dtmpfyf|yfxyg8jm46|ykhs7s2dck,59,0.6692851740445067,-0.03520679424389365,7ed7df00a9f12ee988627875a0f9f139b3f65db34f8b08bbf4e1d6b09cf320a7,true,,
ridge_alpha_0.1,ridge,0.1,value_regression,0.0,9,74t7kcdgkr,candidate_only,yfxyg8jm46,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|ykhs7s2dck,42,0.6470987980878904,-0.039937641723356,29924f58ff1831b05d42abcd61bee47ca7e53ea33c1888fd35c570e5cf836634,true,,
ridge_alpha_0.1,ridge,0.1,value_regression,0.0,9,74t7kcdgkr,candidate_only,ykhs7s2dck,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46,38,0.708073147324167,-0.002201417004048591,815af4e5d8fbdc05fd1a33c0dbeb863a620ca28f1a061ea8427872da1ea31ca2,true,,
ridge_alpha_1,ridge,1.0,value_regression,0.0,9,74t7kcdgkr,candidate_only,cgtnjyggtm,w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,49,0.7217037950282469,0.030316027509905055,e274505970045e191a5f4e8e2ef621a39ea972d52b5428247c1f6967a6f58f11,false,,
ridge_alpha_1,ridge,1.0,value_regression,0.0,9,74t7kcdgkr,candidate_only,w68dtmpfyf,cgtnjyggtm|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,43,0.6716925555274529,-0.07738095238095237,7c663c19e5efa9237fede30e9029dbe457ec0e043d9942d90b3a5417c346c0b0,false,,
ridge_alpha_1,ridge,1.0,value_regression,0.0,9,74t7kcdgkr,candidate_only,xcmzfsbd9t,cgtnjyggtm|w68dtmpfyf|yfxyg8jm46|ykhs7s2dck,59,0.6678203669682398,-0.030909787107771543,3cde2497698a2bcd8c0c184530809e6dad76ba20033d9a7a3d58ef76dce9d193,false,,
ridge_alpha_1,ridge,1.0,value_regression,0.0,9,74t7kcdgkr,candidate_only,yfxyg8jm46,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|ykhs7s2dck,42,0.6466797056348423,-0.03687532705389848,84d9ca00ce46925b86693d30e124b33778d8085a3d4d884c8fe094022c5d8672,false,,
ridge_alpha_1,ridge,1.0,value_regression,0.0,9,74t7kcdgkr,candidate_only,ykhs7s2dck,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46,38,0.7033753829100409,-0.00755374011952959,1614514fb636d49c1dd19644f71fe1debb72a7a801b9d79129d49b8417ca5029,false,,
ridge_alpha_10,ridge,10.0,value_regression,0.0,9,74t7kcdgkr,candidate_only,cgtnjyggtm,w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,49,0.7189254530159231,0.022262091649846754,b191ce9c764dd9cde4186abfda0e5070592cd68a9c092dc708bc102dd2088c08,false,,
ridge_alpha_10,ridge,10.0,value_regression,0.0,9,74t7kcdgkr,candidate_only,w68dtmpfyf,cgtnjyggtm|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,43,0.6767875504838774,-0.08255175057500638,85ce996a08a863bcd4f1ee1376f794ea4bad6168919ca2b0dbfe6cd2035e9c57,false,,
ridge_alpha_10,ridge,10.0,value_regression,0.0,9,74t7kcdgkr,candidate_only,xcmzfsbd9t,cgtnjyggtm|w68dtmpfyf|yfxyg8jm46|ykhs7s2dck,59,0.6688848287052926,-0.030257416987627697,133f4fdf1bbbdf3042f2d515945e77046b17c0fc851f86b310b333b357c70f7c,false,,
ridge_alpha_10,ridge,10.0,value_regression,0.0,9,74t7kcdgkr,candidate_only,yfxyg8jm46,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|ykhs7s2dck,42,0.6370784948694441,-0.04129709576138147,6720e734b5f8afd7c0972b71afefe162258bd57ccf68c28db47f844372cf24d2,false,,
ridge_alpha_10,ridge,10.0,value_regression,0.0,9,74t7kcdgkr,candidate_only,ykhs7s2dck,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46,38,0.6975727689121568,-0.005416184692500481,6b9930983a04428fbe791ec4af984c66720618cef06b7d67e07e8f076a80abe4,false,,
ridge_alpha_100,ridge,100.0,value_regression,0.0,9,74t7kcdgkr,candidate_only,cgtnjyggtm,w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,49,0.7181876963116444,0.02085108768782238,863fc89f533afad9aae97df296b71ca568905fafed714414e90d7f603e250e44,false,,
ridge_alpha_100,ridge,100.0,value_regression,0.0,9,74t7kcdgkr,candidate_only,w68dtmpfyf,cgtnjyggtm|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,43,0.6749491233646193,-0.07966607036374478,bb8fa3b642af8a5a1ac96a7887d4b0ae57ea7f57d164aa738fa5219bc9300bfa,false,,
ridge_alpha_100,ridge,100.0,value_regression,0.0,9,74t7kcdgkr,candidate_only,xcmzfsbd9t,cgtnjyggtm|w68dtmpfyf|yfxyg8jm46|ykhs7s2dck,59,0.6691923851011333,-0.031144467718852622,d815c56ddffaa65b88bb4be605166e6f9ca90ad21a2bb214452170b5629d77c9,false,,
ridge_alpha_100,ridge,100.0,value_regression,0.0,9,74t7kcdgkr,candidate_only,yfxyg8jm46,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|ykhs7s2dck,42,0.6374283237941237,-0.04196864643293215,36173af23d8205cf06190a5aef2379ccf0a07581b62672572c2b0ded63352002,false,,
ridge_alpha_100,ridge,100.0,value_regression,0.0,9,74t7kcdgkr,candidate_only,ykhs7s2dck,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46,38,0.6955591161088932,-0.005471611721611716,eecc26cb246529bf6389d7cb47ab3a66977fdc905061b6b9db0369ac673db7a7,false,,
ridge_alpha_0.1,ridge,0.1,value_regression,0.0,9,74t7kcdgkr,candidate_only,EQUAL_SOURCE_MEAN,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,0.685341378199199,-0.02320981707007461,,true,0.685341378199199,-0.02320981707007461
