outer_domain,scorer,nominal_checkpoint,specimen_count,state_count,mean_exact_acquired_cost,mean_effective_budget,next_action_regret,one_step_cai_utility,spearman,ndcg,recall_at_k
yfxyg8jm46,static_m1_o2,0.09375,42,210,41720.514285714286,0.09170351529995446,0.01290282204096119,-0.0021646038174615682,0.00938869173765212,0.8973375124448187,0.23523809523809525
yfxyg8jm46,static_m1_o2,0.125,42,210,56013.54761904762,0.12312022775919906,0.012247438601989654,-0.0017031794318473966,0.014199935219738264,0.8952087482521401,0.2247619047619048
yfxyg8jm46,static_m1_o2,0.1875,42,210,84506.80476190476,0.18574965328476706,0.010581047158291102,-0.0014732146814156616,0.028100854057501574,0.8926550467114802,0.22095238095238098
ykhs7s2dck,candidate_only_static,0.03125,38,190,8433.768421052631,0.01853779189153233,0.013486055163791111,-0.0015449608346776113,-0.04709706959706959,0.8890538434493511,0.05473684210526316
ykhs7s2dck,candidate_only_static,0.0625,38,190,27746.24736842105,0.06098746536635026,0.010967284769854781,-0.0005777267308415143,-0.0256421563432439,0.8799154526157777,0.06315789473684212
ykhs7s2dck,candidate_only_static,0.09375,38,190,41615.36842105263,0.09147240009023548,0.010307148318158616,-0.0002909568632510234,-0.020871962155092464,0.8805322373104679,0.07473684210526317
ykhs7s2dck,candidate_only_static,0.125,38,190,56015.31578947369,0.12312411427513724,0.00994233453190705,-0.00010796954609631457,-0.026454721872448964,0.8771894708539067,0.07263157894736842
ykhs7s2dck,candidate_only_static,0.1875,38,190,84498.40000000001,0.1857311792504671,0.008220731682600247,0.00044175353453272887,-0.02515639803986451,0.8806042982880943,0.10421052631578949
ykhs7s2dck,dynamic_positions_only,0.03125,38,190,8433.768421052631,0.01853779189153233,0.011901848043003203,0.00003924628611029724,0.014662377096587622,0.8965814922909278,0.031578947368421054
ykhs7s2dck,dynamic_positions_only,0.0625,38,190,27746.24736842105,0.06098746536635026,0.010683727542198413,-0.0002941695031851453,0.0018211771725820274,0.8791267150349915,0.034736842105263156
ykhs7s2dck,dynamic_positions_only,0.09375,38,190,41615.36842105263,0.09147240009023548,0.010322978784245143,-0.0003067873293375498,0.008232397315172559,0.8778209700652763,0.034736842105263156
ykhs7s2dck,dynamic_positions_only,0.125,38,190,56015.31578947369,0.12312411427513724,0.010122877716367402,-0.00028851273055666474,0.005831052594103496,0.8734003306462532,0.04631578947368421
ykhs7s2dck,dynamic_positions_only,0.1875,38,190,84498.40000000001,0.1857311792504671,0.008751109453083198,-0.00008862423595022225,0.004765230617122161,0.8746375556161778,0.06947368421052631
ykhs7s2dck,dynamic_real,0.03125,38,190,8433.768421052631,0.01853779189153233,0.01191416881785054,0.00002692551126296049,-0.0013051860420281469,0.8961021433376584,0.04526315789473684
ykhs7s2dck,dynamic_real,0.0625,38,190,27746.24736842105,0.06098746536635026,0.010618284509630201,-0.00022872647061693386,-0.017177948226544067,0.8784903698370041,0.0368421052631579
ykhs7s2dck,dynamic_real,0.09375,38,190,41615.36842105263,0.09147240009023548,0.010292823077546281,-0.0002766316226386882,-0.0076319446961184015,0.8776975136084016,0.034736842105263156
ykhs7s2dck,dynamic_real,0.125,38,190,56015.31578947369,0.12312411427513724,0.010097654015887816,-0.00026328903007707987,-0.004254836303403018,0.8736704140626079,0.05263157894736842
ykhs7s2dck,dynamic_real,0.1875,38,190,84498.40000000001,0.1857311792504671,0.008718201656162208,-0.000055716439029232666,0.0012224756565739786,0.8743076267645631,0.06315789473684211
ykhs7s2dck,dynamic_shuffled,0.03125,38,190,8433.768421052631,0.01853779189153233,0.011915427380303769,0.000025666948809731572,0.014402352033930981,0.8971684623683182,0.04526315789473684
ykhs7s2dck,dynamic_shuffled,0.0625,38,190,27746.24736842105,0.06098746536635026,0.010609516551965242,-0.00021995851295197522,0.006941188166486671,0.8800585782445537,0.04315789473684211
ykhs7s2dck,dynamic_shuffled,0.09375,38,190,41615.36842105263,0.09147240009023548,0.010245689295293127,-0.00022949784038553325,0.019470711452586248,0.878980930315413,0.04
ykhs7s2dck,dynamic_shuffled,0.125,38,190,56015.31578947369,0.12312411427513724,0.010015705436002881,-0.00018134045019214438,0.016327685356990477,0.8748818029823964,0.05578947368421053
ykhs7s2dck,dynamic_shuffled,0.1875,38,190,84498.40000000001,0.1857311792504671,0.00873009316869695,-0.00006760795156397375,0.015271717454053748,0.8752436663298208,0.06842105263157895
ykhs7s2dck,static_m1_o2,0.03125,38,190,8433.768421052631,0.01853779189153233,0.013871571405722496,-0.0019304770766089983,-0.033353817235396176,0.8902448929735641,0.2305263157894737
ykhs7s2dck,static_m1_o2,0.0625,38,190,27746.24736842105,0.06098746536635026,0.009980743770683288,0.0004088142683299798,0.0009847956903608352,0.891158464940768,0.20315789473684212
ykhs7s2dck,static_m1_o2,0.09375,38,190,41615.36842105263,0.09147240009023548,0.009415193295873732,0.000600998159033862,0.011772954160171404,0.894420699425052,0.20526315789473687
