scope,outer_domain,nominal_checkpoint,metric,control_scorer,direction,estimate,bootstrap_mean,ci95_lower,ci95_upper,fraction_above_zero,bootstrap_replicates,seed,fraction_below_zero
equal_domain,__equal_domain__,0.125,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.00016329505603557832,0.00016660319031290682,-0.00002993617267959091,0.00037041761106806594,0.9522,5000,20250826,0.0478
domain,74t7kcdgkr,0.1875,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.0004702473297335894,0.000471875241803251,-0.00002862590692766062,0.000974992293224882,0.9668,5000,20250826,0.0332
domain,cgtnjyggtm,0.1875,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.000033111987803450746,0.00003628204578398262,-0.0002952567138481381,0.00038331687309635447,0.5764,5000,20250826,0.4236
domain,w68dtmpfyf,0.1875,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.000657210664917177,0.0006585832453704553,0.0001925773020049231,0.001128028962463888,0.9984,5000,20250826,0.0016
domain,xcmzfsbd9t,0.1875,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.00017439429466885661,0.00017694383625361973,-0.0003019427187739342,0.0006480147802355662,0.7708,5000,20250826,0.2292
domain,yfxyg8jm46,0.1875,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.00007358921074690147,0.00007601395899164263,-0.0004768405709243356,0.0006584715123344135,0.5936,5000,20250826,0.4064
domain,ykhs7s2dck,0.1875,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,-0.000011891512534740328,-0.000011800899096559218,-0.00013349485787579629,0.00010750921888899598,0.4208,5000,20250826,0.5792
equal_domain,__equal_domain__,0.1875,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.00023277699588920581,0.00023464957151773203,0.000060597162113144695,0.00041796334359589233,0.997,5000,20250826,0.003
domain,74t7kcdgkr,0.03125,real_minus_control_regret,static_m1_o2,negative_favors_dynamic_real,0.0024300583442152628,0.0023982751083148676,-0.00240890970031299,0.007412021041474906,0.8254,5000,20250826,0.1746
domain,cgtnjyggtm,0.03125,real_minus_control_regret,static_m1_o2,negative_favors_dynamic_real,0.001172179845479033,0.0011851456932216837,-0.004102282408453218,0.006183582330084987,0.686,5000,20250826,0.314
