specimen_id,dataset_id,pair,normalized_topk_centroid_distance,topk_mean_radial_difference
q16-13,w68dtmpfyf,ridge__huber,0.01443075063646,0
q16-13,w68dtmpfyf,ridge__shallow_mlp,0.173769248631902,0.045017717467671
q16-14,w68dtmpfyf,huber__shallow_mlp,0.105057450418235,0.072527658143214
q16-14,w68dtmpfyf,ridge__huber,0.133044947044952,0.046689061305027
q16-14,w68dtmpfyf,ridge__shallow_mlp,0.130676004845568,0.11921671944824
q16-15,w68dtmpfyf,huber__shallow_mlp,0.104061622726383,0.03230051944354
q16-15,w68dtmpfyf,ridge__huber,0.248276021644825,0.047853504322756
q16-15,w68dtmpfyf,ridge__shallow_mlp,0.23268886226513,0.080154023766296
q16-16,w68dtmpfyf,huber__shallow_mlp,0.204081632653061,0.045417587105391
q16-16,w68dtmpfyf,ridge__huber,0.228170201785693,0.131105828786118
q16-16,w68dtmpfyf,ridge__shallow_mlp,0.228170201785693,0.085688241680728
q16-17,w68dtmpfyf,huber__shallow_mlp,0.118999018262149,0.24867818994668
q16-17,w68dtmpfyf,ridge__huber,0.072153753182301,0.056406775969392
q16-17,w68dtmpfyf,ridge__shallow_mlp,0.189806890181003,0.192271413977288
q16-18,w68dtmpfyf,huber__shallow_mlp,0.180816787210912,0.120040047924147
q16-18,w68dtmpfyf,ridge__huber,0.118999018262149,0.10778543617661
q16-18,w68dtmpfyf,ridge__shallow_mlp,0.189806890181003,0.227825484100757
q16-19,w68dtmpfyf,huber__shallow_mlp,0.072153753182301,0.147482142141242
q16-19,w68dtmpfyf,ridge__huber,0.072153753182301,0.103729847557107
q16-19,w68dtmpfyf,ridge__shallow_mlp,0.102040816326531,0.043752294584135
q16-2,w68dtmpfyf,huber__shallow_mlp,0.072153753182301,0.025225877091832
q16-2,w68dtmpfyf,ridge__huber,0.23268886226513,0.26335697258214
q16-2,w68dtmpfyf,ridge__shallow_mlp,0.234915600677986,0.288582849673972
q16-20,w68dtmpfyf,huber__shallow_mlp,0.105057450418235,0.162032660343514
q16-20,w68dtmpfyf,ridge__huber,0.123296387485659,0.110090790296653
q16-20,w68dtmpfyf,ridge__shallow_mlp,0.104061622726383,0.272123450640167
q16-21,w68dtmpfyf,huber__shallow_mlp,0.168907605686192,0.142537112057749
q16-21,w68dtmpfyf,ridge__huber,0.057723002545841,0.108212291364006
q16-21,w68dtmpfyf,ridge__shallow_mlp,0.196279429200728,0.034324820693743
q16-22,w68dtmpfyf,huber__shallow_mlp,0.224025493878573,0.223476999740389
q16-22,w68dtmpfyf,ridge__huber,0,0
q16-22,w68dtmpfyf,ridge__shallow_mlp,0.224025493878573,0.223476999740389
q16-23,w68dtmpfyf,huber__shallow_mlp,0.077711970467999,0.015291858684571
q16-23,w68dtmpfyf,ridge__huber,0.064536278778947,0.063968691483235
q16-23,w68dtmpfyf,ridge__shallow_mlp,0.142126410991675,0.048676832798663
q16-24,w68dtmpfyf,huber__shallow_mlp,0.116344431132565,0.143722845611812
q16-24,w68dtmpfyf,ridge__huber,0.124138010822413,0.081632653061224
q16-24,w68dtmpfyf,ridge__shallow_mlp,0.052030811363192,0.062090192550587
q16-25,w68dtmpfyf,huber__shallow_mlp,0.196279429200728,0.274346161446141
q16-25,w68dtmpfyf,ridge__huber,0.020408163265306,0.028458137235429
q16-25,w68dtmpfyf,ridge__shallow_mlp,0.20047839494274,0.30280429868157
q16-26,w68dtmpfyf,huber__shallow_mlp,0.291843870328063,0.017478396036736
q16-26,w68dtmpfyf,ridge__huber,0,0
q16-26,w68dtmpfyf,ridge__shallow_mlp,0.291843870328063,0.017478396036736
q16-27,w68dtmpfyf,huber__shallow_mlp,0.136902121071416,0.074006287438142
q16-27,w68dtmpfyf,ridge__huber,0.168290025535415,0.070652911862532
q16-27,w68dtmpfyf,ridge__shallow_mlp,0.192530227184829,0.144659199300673
q16-28,w68dtmpfyf,huber__shallow_mlp,0.084145012767707,0.42930886689291
q16-28,w68dtmpfyf,ridge__huber,0.077711970467999,0.088962726594234
q16-28,w68dtmpfyf,ridge__shallow_mlp,0.153400983452785,0.340346140298676
