specimen_id,dataset_id,learner,initial_budget,current_absolute_error,mechanical_oracle_cell,mechanical_oracle_added_measurements,mechanical_oracle_error_after,mechanical_oracle_improvement,reconstruction_oracle_cell,reconstruction_oracle_added_measurements,reconstruction_action_error_after,mechanical_headroom_over_reconstruction,candidate_bank_state_sha256,predictor_state_sha256
c8-3,74t7kcdgkr,shallow_mlp,0.03125,0.239728678943757,35,425,0.108070434861441,0.131658244082316,35,425,0.108070434861441,0,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-30,74t7kcdgkr,huber,0.03125,0.00294885459226,39,1662,0.000448892061169,0.002499962531091,56,1662,0.003527486879853,0.003078594818685,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-30,74t7kcdgkr,ridge,0.03125,0.004214946376012,8,1560,0.001898790039462,0.002316156336551,56,1662,0.003507769962366,0.001608979922904,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-30,74t7kcdgkr,shallow_mlp,0.03125,0.162731925101514,28,1603,0.144285458733375,0.018446466368138,56,1662,0.162522263646279,0.018236804912904,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-32,74t7kcdgkr,huber,0.03125,0.068623372600765,27,1560,0.052280946881315,0.01634242571945,27,1560,0.052280946881315,0,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-32,74t7kcdgkr,ridge,0.03125,0.064081849311057,27,1560,0.050928711937825,0.013153137373232,27,1560,0.050928711937825,0,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-32,74t7kcdgkr,shallow_mlp,0.03125,0.155112578006188,28,1603,0.105254808693824,0.049857769312364,27,1560,0.110623690606435,0.005368881912611,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-33,74t7kcdgkr,huber,0.03125,0.105927347252448,27,1560,0.092039209122862,0.013888138129586,27,1560,0.092039209122862,0,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-33,74t7kcdgkr,ridge,0.03125,0.100184541188869,27,1560,0.091023105002335,0.009161436186534,27,1560,0.091023105002335,0,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-33,74t7kcdgkr,shallow_mlp,0.03125,0.037575745968175,37,1560,0.027177445398854,0.010398300569321,27,1560,0.054852095115937,0.027674649717084,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
