target_id,target_mae,source_method,source_budget,grid,method,cost,attained_mae,status,later_recrosses_target,main_cost,absolute_saving,relative_saving
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.03138806462248599,0.968611935377514,0.968611935377514
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,PRIMARY_FIVE_BUDGETS,CENTER_FIRST,0.0625,47.885134887695315,REACHED,True,0.0625,0.0,0.0
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,PRIMARY_FIVE_BUDGETS,GEOMETRY_SPREAD,0.125,46.188976745605466,REACHED,False,0.0625,0.0625,0.5
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,PRIMARY_FIVE_BUDGETS,SERPENTINE,0.25,48.012801818847656,REACHED,False,0.0625,0.1875,0.75
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,PRIMARY_FIVE_BUDGETS,RANDOM,0.25,46.88638348388671,REACHED,False,0.0625,0.1875,0.75
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,PRIMARY_FIVE_BUDGETS,LEARNED_STATIC_TRUE,0.0625,46.46498809814453,REACHED,True,0.0625,0.0,0.0
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,PRIMARY_FIVE_BUDGETS,NO_VLM_SPATIAL_FEEDBACK,0.0625,43.32439086914062,REACHED,False,0.0625,0.0,0.0
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,PRIMARY_FIVE_BUDGETS,VLM_MEAN_FEEDBACK,0.0625,44.512246704101564,REACHED,False,0.0625,0.0,0.0
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_FEEDBACK,0.0625,46.98702209472656,REACHED,False,0.0625,0.0,0.0
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_OPEN_LOOP,0.0625,44.70976043701172,REACHED,False,0.0625,0.0,0.0
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,PRIMARY_FIVE_BUDGETS,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.0625,0.9375,0.9375
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,SECONDARY_EVENT_GRID,CENTER_FIRST,0.06240685789647214,47.885134887695315,REACHED,True,0.03138806462248599,0.031018793273986156,0.4970414201183432
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,SECONDARY_EVENT_GRID,GEOMETRY_SPREAD,0.0777316188592153,47.837416076660155,REACHED,False,0.03138806462248599,0.04634355423672931,0.5961995249406176
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,SECONDARY_EVENT_GRID,SERPENTINE,0.24925816023738873,48.012801818847656,REACHED,False,0.03138806462248599,0.21787009561490273,0.8740740740740741
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,SECONDARY_EVENT_GRID,RANDOM,0.21782979463974944,47.95861102294923,REACHED,False,0.03138806462248599,0.18644173001726344,0.8559055492183882
