outer_domain,specimen_id,nominal_checkpoint,feedback_exact_cost,feedback_effective_budget,feedback_cai_error,feedback_trajectory_count,no_feedback_exact_cost,no_feedback_effective_budget,no_feedback_cai_error,no_feedback_trajectory_count,feedback_benefit,exact_cost_difference
cgtnjyggtm,q24-8,0.0625,27902,0.061329816463348,0.09795579812399,1,28029,0.061608968018464,0.097946641890456,1,-0.000009156233534,127
cgtnjyggtm,q24-8,0.09375,42057,0.0924431256182,0.098134088303373,1,42057,0.0924431256182,0.098168808740935,1,0.000034720437562,0
cgtnjyggtm,q24-8,0.125,56065,0.123233322343115,0.098338455435861,1,56065,0.123233322343115,0.098326979623165,1,-0.000011475812696,0
cgtnjyggtm,q24-8,0.1875,84005,0.184646664468623,0.098314575978803,1,84431,0.185583031102319,0.098280758956283,1,-0.00003381702252,426
cgtnjyggtm,q24-8,0.25,113320,0.249082316738103,0.098120756827346,1,112403,0.247066710627542,0.097950353217115,1,-0.000170403610231,-917
cgtnjyggtm,q24-9,0.03125,13820,0.030376964501594,0.110386622867807,1,13820,0.030376964501594,0.110386622867807,1,0,0
cgtnjyggtm,q24-9,0.0625,27902,0.061329816463348,0.110600488066549,1,28029,0.061608968018464,0.110581858183384,1,-0.000018629883165,127
cgtnjyggtm,q24-9,0.09375,42057,0.0924431256182,0.110488147185237,1,42057,0.0924431256182,0.110503090158365,1,0.000014942973128,0
cgtnjyggtm,q24-9,0.125,56065,0.123233322343115,0.110398635846205,1,56065,0.123233322343115,0.110381495377028,1,-0.000017140469177,0
cgtnjyggtm,q24-9,0.1875,84005,0.184646664468623,0.11008605424165,1,84431,0.185583031102319,0.110096919638778,1,0.000010865397128,426
cgtnjyggtm,q24-9,0.25,113320,0.249082316738103,0.109862593310164,1,112403,0.247066710627542,0.109723980142764,1,-0.0001386131674,-917
w68dtmpfyf,q16-1,0.03125,14138,0.031075942411254,0.064868957805717,1,14138,0.031075942411254,0.064868957805717,1,0,0
w68dtmpfyf,q16-1,0.0625,28178,0.061936476535883,0.064608129475645,1,28178,0.061936476535883,0.064608129475645,1,0,0
w68dtmpfyf,q16-1,0.09375,42312,0.093003626772173,0.064533314302489,1,42312,0.093003626772173,0.064533314302489,1,0,0
w68dtmpfyf,q16-1,0.125,56298,0.123745466534784,0.064469960954849,1,56278,0.123701505659963,0.064472193269386,1,0.000002232314537,-20
w68dtmpfyf,q16-1,0.1875,84398,0.185510495658864,0.064325695996109,1,84398,0.185510495658864,0.064325676414403,1,-0.000000019581706,0
w68dtmpfyf,q16-1,0.25,112422,0.247108473458622,0.064183872223441,1,112422,0.247108473458622,0.064155635402723,1,-0.000028236820718,0
w68dtmpfyf,q16-10,0.03125,14138,0.031075942411254,0.011012120614449,1,14138,0.031075942411254,0.011012120614449,1,0,0
w68dtmpfyf,q16-10,0.0625,28178,0.061936476535883,0.009991156548467,1,28178,0.061936476535883,0.009991156548467,1,0,0
