record_id,dataset_id,dataset_version,source_dataset_id,source_dataset_version,specimen_id_raw,specimen_key,measurement_stage,measurement_name_raw,measurement_semantics,value_raw,value_numeric,unit_raw,unit_normalized,source_kind,source_path_or_url,source_sheet,source_cell,source_sha256,extraction_method,derivation,provenance_status,notes
hasebe-cb026a53b26e40a18601,74t7kcdgkr,1,74t7kcdgkr,1,c8-15,74t7kcdgkr:c8-15,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B22,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-1f6e08307768591f35ea,74t7kcdgkr,1,74t7kcdgkr,1,c8-15,74t7kcdgkr:c8-15,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,3.35,3.35,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E22,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-10459a9451647042e478,74t7kcdgkr,1,74t7kcdgkr,1,c8-16,74t7kcdgkr:c8-16,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B23,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-905c8cfa9d321cd41745,74t7kcdgkr,1,74t7kcdgkr,1,c8-16,74t7kcdgkr:c8-16,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,2.2,2.2,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E23,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-5a502e4554d49199f34c,74t7kcdgkr,1,74t7kcdgkr,1,c8-17,74t7kcdgkr:c8-17,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B24,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-39b3bb1222ba85745739,74t7kcdgkr,1,74t7kcdgkr,1,c8-17,74t7kcdgkr:c8-17,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,2.2,2.2,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E24,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-133153ccb3461016dca0,74t7kcdgkr,1,74t7kcdgkr,1,c8-18,74t7kcdgkr:c8-18,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B25,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-e6212839ba614e2339c2,74t7kcdgkr,1,74t7kcdgkr,1,c8-18,74t7kcdgkr:c8-18,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,2.2,2.2,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E25,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-1bdae3c41eda66ac1d55,74t7kcdgkr,1,74t7kcdgkr,1,c8-19,74t7kcdgkr:c8-19,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B26,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-332814a4384a74b8097d,74t7kcdgkr,1,74t7kcdgkr,1,c8-19,74t7kcdgkr:c8-19,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,3.452998478,3.452998478,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E26,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
