specimen_id,domain_id,held_out_domain,endpoint,model,truth,prediction,residual,fold_state_sha256
q24-18,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.6524999999999999,1.3310197944312789,0.32148020556872092,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-19,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.2185942500000002,1.0455942402868728,0.17300000971312746,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-2,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.1887505,1.0033991992876496,0.1853513007123504,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-20,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.290313,1.0297531313512032,0.26055986864879688,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-21,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.344063,1.166194639327033,0.17786836067296696,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-22,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.4923437500000001,1.2515899342986483,0.24075381570135179,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-23,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.3537505000000001,1.1518487372985518,0.20190176270144833,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-24,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.5028125000000001,1.2848049327758622,0.21800756722413794,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-25,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.1993750000000001,1.0091093033974246,0.19026569660257553,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-26,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.0874999999999999,0.96568824669232811,0.1218117533076718,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-27,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.1684375,0.97471405594886351,0.19372344405113651,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-28,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.3182817499999999,1.1419505610735217,0.17633118892647826,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-29,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.3334380000000001,1.1338371128724614,0.19960088712753876,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-3,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.1200000000000001,0.94734168075371394,0.17265831924628616,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-30,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.00125,0.84857359455203085,0.15267640544796912,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-31,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,0.98796874999999995,0.84088767457558167,0.14708107542441828,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-32,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,0.97687500000000005,0.82009074718483554,0.1567842528151645,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-33,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.0618749999999999,0.9359761956414353,0.1258988043585646,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-34,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.1112504999999999,0.96178468910080073,0.14946581089919919,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-35,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.1287505,0.97760682806373833,0.15114367193626166,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-36,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.245938,1.0926344264636019,0.15330357353639812,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-37,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.3303130000000001,1.1501434151362964,0.18016958486370371,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-38,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.2418750000000001,1.0333426792952733,0.20853232070472671,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-39,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.5187499999999998,1.2929152378762143,0.2258347621237855,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-4,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.2856254999999999,1.108375594312355,0.17724990568764487,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-40,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,0.551875,0.062060578567192271,0.48981442143280773,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-41,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,0.45640624999999996,0.2300702680749267,0.22633598192507326,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-42,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,0.63312500000000005,0.046172937100956379,0.58695206289904367,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-43,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,0.63843749999999999,0.046297917265850752,0.59213958273414924,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-44,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,0.57687500000000003,0.023752204630258067,0.55312279536974196,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-45,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,0.53749999999999998,0.027571825292953989,0.50992817470704599,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-46,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,0.53703124999999996,0.076250672876540082,0.46078057712345988,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-47,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,0.4971875,0.085036054670568295,0.41215144532943171,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-48,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,0.46781249999999996,0.18272367714340776,0.28508882285659221,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-49,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,0.37312500000000004,0.23979288221157402,0.13333211778842602,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-5,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.2943750000000001,1.0766119677127364,0.21776303228726368,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-50,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,0.46921874999999996,0.22802416279227711,0.24119458720772285,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-6,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.2190624999999999,1.0621149412835487,0.15694755871645127,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
