axis,outer_group,inner_group,condition_id,pca_dimension,mae,fit_count,query_count,pca_state_sha256,model_state_sha256
sampling,cgtnjyggtm,xcmzfsbd9t,sampling:density=0.1875,16,0.06649077395342394,168,59,362abb1ee8b2d08cda623cf07b1a35986cc810ba80e37e86dc7f28a46848f59b,b7125846a2e7eeab6c7dcba355d1e89b754fb6cdab912141d08a208806cdbb78
sampling,cgtnjyggtm,yfxyg8jm46,sampling:density=0.1875,16,0.1331853765625833,185,42,5b7be3f524349d80c4b47bedacb18cee9f9121cc1cedf412e134b46fe8fb4a0a,0bde447aeaed08f3339612af28b022feb826644e8d520c24f35cb61256b6e276
sampling,cgtnjyggtm,ykhs7s2dck,sampling:density=0.1875,16,0.06502121525573007,189,38,4b0987d851e7444b315b5236b5e543460dc8937afe7455efd17a146a97ff883a,0cd033ce1f8ef5e37356184541df576ef62a72c6afc4d20c2b0d2d251a050813
sampling,cgtnjyggtm,74t7kcdgkr,sampling:density=0.125,32,0.052691394628215885,182,45,792fb8bea959a2d9a25e4f583fa06145f2e580cc3c0129b32079bcb9bf793975,865ccf7b481d77373c68c1dd649b749db7b0f6ace38e62b71bff2e8cdd6551d2
sampling,cgtnjyggtm,w68dtmpfyf,sampling:density=0.125,32,0.0851580783194906,184,43,662786c58c0392b8c8c6e68fc7c373d2ddae47c794a45d0aec398dd9d81e76ae,bf5c4980370e7fd1a08c318eef816f5259748747b9167af3ed2fd61d1ceb9ca8
sampling,cgtnjyggtm,xcmzfsbd9t,sampling:density=0.125,32,0.08477099887841943,168,59,025a807cf367f3592ac3708cae31fafbc5782eb281df4c0f3346ecea6ca86c1f,98990d614caf76f0fb43eaf62f5723b1d9b923c2558f09672b60a86ac5d3cf42
sampling,cgtnjyggtm,yfxyg8jm46,sampling:density=0.125,32,0.1283699131193388,185,42,223a2c5ff71d8d0c910e170707a40ecd69fd5ecb8bea5125215a548b9df010dd,8dd9a46a34b1fd8808c10d730094e0dd58aa0eebc8c53df0a0edf1a516dead90
sampling,cgtnjyggtm,ykhs7s2dck,sampling:density=0.125,32,0.0701975760148682,189,38,83023285503f27cde006a6e3e870d36d8c28db1bf225d3bf8ca0d57cc701eeca,2fbae38c27191d3c95b02590162f9a2e25fe9b7d7b198b07b2809168659b24e3
sampling,cgtnjyggtm,74t7kcdgkr,sampling:density=0.0625,8,0.08414966769146795,182,45,d8d0b5f3602c00498b024e14b1c9a4c485d33b880902dfa9cd29907cc1faef34,f83766897550acabe0b061d83b404c285d6ceb3feb8d0a383fefabc2fa10a7cd
sampling,cgtnjyggtm,w68dtmpfyf,sampling:density=0.0625,8,0.09899981532446553,184,43,c1ffdb0db129623c4a1ac912ea19fc998e1af9140b5215c1926eed62cc258312,37277af247c7fcc6258139163a3cebc9228b746eaa16c10a30cd3fbbf6da9602
sampling,cgtnjyggtm,xcmzfsbd9t,sampling:density=0.0625,8,0.0695812946903277,168,59,cde3aa9754f0b79285e01fc907d206f2e953cc03cae0b2419cad7de9fd6d8f90,ae72b3beec266ab3ed5c0bd4cd4546365e4807ae2325af7e2504d31efb428eb3
sampling,cgtnjyggtm,yfxyg8jm46,sampling:density=0.0625,8,0.13708828156099453,185,42,6b4bc7f0f49dd944ae97a0c1d359a363c100f944ef14b53b787ab38f3a074a27,7a809ff86223feac2c0a6a159626f84fcf36d543c1f13881e7dd541845eab01c
sampling,cgtnjyggtm,ykhs7s2dck,sampling:density=0.0625,8,0.07262353852712246,189,38,0e7860030aeedd257ff5d9fc18b6c8beba3d6e84e171e767466934c0ae852624,264e538b246a2e9eb9fe65afe6e2b9aea76401a0fb92b8e17e6921c211c3db08
sampling,w68dtmpfyf,74t7kcdgkr,sampling:density=1,8,0.05296095583809314,188,45,70d2a6dff9d504c8fe1eee8fe0999eaa74c5c1854a5137cb2dc322dc30e2aa5c,da158f8b173941d4aed3cc2f140e09e3b9a937bc327f2dcb0e61b13b20dcad83
sampling,w68dtmpfyf,cgtnjyggtm,sampling:density=1,8,0.12307466869632765,184,49,59e573c373c38b263c78c1d1af340a59e65757cb0563fd0e0062a1dba1008b69,62f21d9902dc9e66a76f3e6431b7253e9117630dcd38ff63c00a38e6cfd96312
sampling,w68dtmpfyf,xcmzfsbd9t,sampling:density=1,8,0.05834731612220605,174,59,87252c7a808bd87b0388cb6c9c7cc0c900e45b38c972bae6ece976cff6bfaf22,04d1dda3cca6ff37e37f03fbb9f38a15c8298307375e10ae279824c1b3a6292a
sampling,w68dtmpfyf,yfxyg8jm46,sampling:density=1,8,0.12186808084275295,191,42,d0739772fc4e88989486f312d4c70ee13473f158a33d9f11141c5731541d80eb,0375b9be66f056227d0bda3ec274767fd22a2eed2f99c8d5e8bd1a1d3d9a602f
sampling,w68dtmpfyf,ykhs7s2dck,sampling:density=1,8,0.07815564334843844,195,38,96f35e12cc8a4d0bfba057b94026ca20bb1e41484eb345bd8a2ab8d79e03af42,181a7dd6a141120774bcf32ad4adb94ec2bf75422e0d273d1b3ba5602f5f335c
sampling,w68dtmpfyf,74t7kcdgkr,sampling:density=0.75,8,0.053297735003083276,188,45,0f5ff5b0206765f0d25a3daf184a2f51c6566b4f58c77170c65a52f522e33ab0,9d91b67b71c3aada3ac60c8c21f366ad8109b058594e6f1649601c1386c28df2
sampling,w68dtmpfyf,cgtnjyggtm,sampling:density=0.75,8,0.12436471368740103,184,49,a8bb397125142f02e12a5c701f7b01d2f7d74269a94ad3d043bbc69ee773babf,0243532f3a12fe67dd7efe7262e29fbbef0d31e09c40dfb8a10241c9a7305b86
sampling,w68dtmpfyf,xcmzfsbd9t,sampling:density=0.75,8,0.0572237234349119,174,59,f3e8f6e9d4cfea59c19c3cc757e1b0c22923c096297bca5a3a3b1a212f844ea0,30458cfaab5e5e25f5e2a1e629bdabd1231119e3b1e698957558ad195c307215
sampling,w68dtmpfyf,yfxyg8jm46,sampling:density=0.75,8,0.12110949222722456,191,42,e0cae043aeb77ba4113f60d096b6c2d18501a51675eac1d591beeb62a3e017dd,1b7752384bebb84143d6e4de0e03c23696c3a22cd3f3989bf3c0cbfd9826484d
sampling,w68dtmpfyf,ykhs7s2dck,sampling:density=0.75,8,0.07837489212717445,195,38,1fb31a1ba449c89e1362b5a378468ce264449ea9bec7d7085fbee63e61be022f,3895ac55445b5e1b9df437c46c112bb528bdfd308208ba51d25d4d8ca15a5fb7
sampling,w68dtmpfyf,74t7kcdgkr,sampling:density=0.625,8,0.052626360715628706,188,45,3be9cec3da87ae533e91cdfe596a3cbc9bd05dc1041f0bee1cf19384e777a32a,ff5e4d42f3e2ed93c17db0b238fd2a3eecea1f8f396ce5fb30792e239353f04d
