dataset_id,specimen_id,comparison,first_method,second_method,nominal_checkpoint,first_action_count,second_action_count,exact_action_jaccard,normalized_symmetric_cell_distance,first_mean_radial_position,second_mean_radial_position,first_minus_second_level2_fraction
74t7kcdgkr,c8-14,oracle,reconstruction_oracle,mechanical_oracle,0.09375,12,12,0.043478260869565216,0.16469374992312377,0.7114590787711195,0.6061807459430595,0
74t7kcdgkr,c8-14,oracle,reconstruction_oracle,mechanical_oracle,0.125,18,16,0.0967741935483871,0.11784399437036452,0.6953143206656595,0.6049740121803413,-0.08333333333333334
74t7kcdgkr,c8-14,oracle,reconstruction_oracle,mechanical_oracle,0.1875,32,27,0.11320754716981132,0.10585615174580057,0.7170667057693575,0.569447179958303,-0.10300925925925924
74t7kcdgkr,c8-14,oracle,reconstruction_oracle,mechanical_oracle,0.25,48,33,0.15714285714285714,0.0726085666705651,0.6272431031677079,0.5491333686677716,-0.23863636363636365
74t7kcdgkr,c8-15,learned,global_reconstruction_mask,global_mechanical_mask,0.03125,0,0,,,,,
74t7kcdgkr,c8-15,learned,global_reconstruction_mask,global_mechanical_mask,0.0625,8,9,0.13333333333333333,0.17120043214887937,0.6458129475106507,0.32439461640604794,0
74t7kcdgkr,c8-15,learned,global_reconstruction_mask,global_mechanical_mask,0.09375,17,18,0.16666666666666666,0.11163531863546391,0.7099709625428269,0.43487218121315224,0
74t7kcdgkr,c8-15,learned,global_reconstruction_mask,global_mechanical_mask,0.125,26,27,0.23255813953488372,0.07539817751331977,0.701420149422866,0.49268673711405325,0
74t7kcdgkr,c8-15,learned,global_reconstruction_mask,global_mechanical_mask,0.1875,44,45,0.48333333333333334,0.03517677674084592,0.6773947835558639,0.5789629773128685,0
74t7kcdgkr,c8-15,learned,global_reconstruction_mask,global_mechanical_mask,0.25,64,64,1,0,0.6148687895716815,0.6148687895716815,0
74t7kcdgkr,c8-15,oracle,reconstruction_oracle,mechanical_oracle,0.03125,0,0,,,,,
74t7kcdgkr,c8-15,oracle,reconstruction_oracle,mechanical_oracle,0.0625,4,8,0.09090909090909091,0.22770845906277892,0.8191376669594803,0.5241051729592132,0.5
74t7kcdgkr,c8-15,oracle,reconstruction_oracle,mechanical_oracle,0.09375,8,13,0.05,0.2292165211015479,0.8381402620511688,0.4959936225802562,0.34615384615384615
74t7kcdgkr,c8-15,oracle,reconstruction_oracle,mechanical_oracle,0.125,12,19,0.03333333333333333,0.25513104489924887,0.8536450510611245,0.5448090167788384,0.34210526315789475
74t7kcdgkr,c8-15,oracle,reconstruction_oracle,mechanical_oracle,0.1875,25,27,0.061224489795918366,0.13033945336651517,0.7458354489059288,0.5384127391596238,0.06074074074074076
74t7kcdgkr,c8-15,oracle,reconstruction_oracle,mechanical_oracle,0.25,35,35,0.12903225806451613,0.09899847915335148,0.7284868718939009,0.5808550692753763,0
74t7kcdgkr,c8-16,learned,global_reconstruction_mask,global_mechanical_mask,0.03125,0,0,,,,,
74t7kcdgkr,c8-16,learned,global_reconstruction_mask,global_mechanical_mask,0.0625,8,9,0.13333333333333333,0.17120043214887937,0.6458129475106507,0.32439461640604794,0
74t7kcdgkr,c8-16,learned,global_reconstruction_mask,global_mechanical_mask,0.09375,17,18,0.16666666666666666,0.11163531863546391,0.7099709625428269,0.43487218121315224,0
74t7kcdgkr,c8-16,learned,global_reconstruction_mask,global_mechanical_mask,0.125,26,27,0.23255813953488372,0.07539817751331977,0.701420149422866,0.49268673711405325,0
74t7kcdgkr,c8-16,learned,global_reconstruction_mask,global_mechanical_mask,0.1875,44,45,0.48333333333333334,0.03517677674084592,0.6773947835558639,0.5789629773128685,0
74t7kcdgkr,c8-16,learned,global_reconstruction_mask,global_mechanical_mask,0.25,64,64,1,0,0.6148687895716815,0.6148687895716815,0
74t7kcdgkr,c8-16,oracle,reconstruction_oracle,mechanical_oracle,0.03125,0,0,,,,,
74t7kcdgkr,c8-16,oracle,reconstruction_oracle,mechanical_oracle,0.0625,8,6,0.16666666666666666,0.17401315570046028,0.7775251062558828,0.7934593238874409,-0.16666666666666666
74t7kcdgkr,c8-16,oracle,reconstruction_oracle,mechanical_oracle,0.09375,15,15,0.36363636363636365,0.11183831743256618,0.7293462347686425,0.6719349277842656,0
74t7kcdgkr,c8-16,oracle,reconstruction_oracle,mechanical_oracle,0.125,19,21,0.2903225806451613,0.07749008176819981,0.7371311923002248,0.591663475006179,0.06265664160401002
