specimen_id,dataset_id,uniform_auebc,mechanical_auebc,auebc_reduction,uniform_mae_0p125,mechanical_mae_0p125
c8-9t,74t7kcdgkr,0.021358125641579524,0.013005107008885321,0.008353018632694203,0.12044826176356027,0.08785446417157594
q24-31,cgtnjyggtm,0.014224825973633106,0.0060933454387296065,0.0081314805349035,0.0647365256414445,0.047234033498177785
c24-44,xcmzfsbd9t,0.01789606703192364,0.009901655849774142,0.007994411182149497,0.08245379373195105,0.06606551299859231
q16-13,w68dtmpfyf,0.010110464388321357,0.0021206876597397208,0.007989776728581637,0.052951921194024365,0.016347347639105392
q24-5,cgtnjyggtm,0.02168266433924814,0.013785298014383376,0.007897366324864765,0.14613900463694096,0.09740123500573372
c24-13,xcmzfsbd9t,0.008869510138215658,0.0011495015763126407,0.007720008561903018,0.04470985404784589,0.0051138846657196035
c8-42,74t7kcdgkr,0.00928361373297214,0.0017112135565692677,0.0075724001764028714,0.04710350720204037,0.0031981559694568285
c16-11,yfxyg8jm46,0.022743209127033245,0.015201238327676897,0.007541970799356349,0.1216500286865842,0.07659077138564424
c16-12,yfxyg8jm46,0.012039631292566032,0.004564035027280252,0.0074755962652857805,0.0869222714409803,0.04346988090643211
q16-43,w68dtmpfyf,0.019489485172060086,0.012194097805970383,0.007295387366089702,0.12085740107946907,0.07282014267104286
c16-18,yfxyg8jm46,0.02398081560939506,0.016946579722473383,0.007034235886921678,0.11212608650613332,0.07231539049402391
c8-36,74t7kcdgkr,0.00926513861927972,0.002294723057715751,0.00697041556156397,0.033700821350105103,0.02836010439431369
c8-12t,74t7kcdgkr,0.007802217522255368,0.0010270053963354602,0.006775212125919907,0.03043514575069939,0.008368816697057468
q8-4,ykhs7s2dck,0.009949498500845906,0.0032097196065063883,0.0067397788943395175,0.04997656672661632,0.004691744989097191
q24-50,cgtnjyggtm,0.08760041746762165,0.08087011548144928,0.006730301986172374,0.4654143803033783,0.4088066052577633
q8-18,ykhs7s2dck,0.0548632017117789,0.04858463508580601,0.006278566625972891,0.3099070056785891,0.2724428721780099
q24-39,cgtnjyggtm,0.023491704439958964,0.01724424414475967,0.006247460295199295,0.0813580266865761,0.08085188512025221
c24-15,xcmzfsbd9t,0.009806582467846875,0.0035681505973825193,0.006238431870464356,0.04889375147067887,0.0375663467604781
c24-45,xcmzfsbd9t,0.010626491691922488,0.0044360363156297645,0.006190455376292724,0.06785647618645319,0.02101252959509714
c24-54,xcmzfsbd9t,0.015791490821339425,0.00965717756894256,0.006134313252396866,0.0971640585109429,0.06445493655230983
q24-27,cgtnjyggtm,0.008358554662242638,0.0022446713724104846,0.006113883289832154,0.07684480885166278,0.018601747082720888
q8-28,ykhs7s2dck,0.013965572210572446,0.00788801533353704,0.006077556877035406,0.04795465360705908,0.053992258192764986
q8-11,ykhs7s2dck,0.010458038222665542,0.004426204357096996,0.006031833865568546,0.027671741186899412,0.027417915279405736
q24-36,cgtnjyggtm,0.009029353313007053,0.0030309601003371076,0.005998393212669945,0.07326184738645869,0.0030992811227583683
c8-40,74t7kcdgkr,0.03670657738005169,0.03075598766510918,0.005950589714942507,0.18832918682158029,0.16053089653705654
q8-14,ykhs7s2dck,0.04094241165993903,0.03526538163800812,0.005677030021930915,0.2276826498046044,0.187967615604954
q24-1,cgtnjyggtm,0.009985928438850386,0.00435083754535167,0.005635090893498717,0.056965608829382286,0.006043287667979347
c24-28,xcmzfsbd9t,0.007076929661873548,0.0015553251084744063,0.005521604553399142,0.045644503073151044,0.000509143716994287
q16-32,w68dtmpfyf,0.01603907327209434,0.0105397364405314,0.0054993368315629405,0.11947222961309578,0.08381012507352403
c24-56,xcmzfsbd9t,0.01146115649261089,0.006000078849322477,0.005461077643288413,0.004521195780060883,0.03953279439719015
q16-17,w68dtmpfyf,0.009447434190589039,0.004038648023921315,0.0054087861666677235,0.06675143043410348,0.030778977688270315
c24-20,xcmzfsbd9t,0.015371459584619588,0.010017600131696353,0.005353859452923234,0.11622627045747291,0.0803358567582112
c8-11,74t7kcdgkr,0.009099819467439759,0.003867673431307485,0.005232146036132274,0.03914293037440231,0.03373185513320698
q16-1,w68dtmpfyf,0.014380907891814902,0.00918924768081155,0.005191660211003351,0.05144022046763641,0.0587689712281142
q8-16,ykhs7s2dck,0.025861809772627718,0.020791269536032633,0.005070540236595086,0.15967856121126134,0.13044630348223418
q8-23,ykhs7s2dck,0.02280310921218985,0.017771957958650497,0.005031151253539354,0.13064814231933208,0.09142862112195871
c24-7,xcmzfsbd9t,0.0068492312135556834,0.001949872755719128,0.0048993584578365555,0.05360413801381453,0.004793640205707161
c8-28,74t7kcdgkr,0.00925841258303166,0.004389850864007543,0.004868561719024117,0.04936415626632085,0.02859609643160199
c8-16,74t7kcdgkr,0.015524146564404092,0.010670035367252084,0.004854111197152008,0.08851476379482837,0.06493787222611258
q16-39,w68dtmpfyf,0.01099039511946532,0.006145459260074336,0.004844935859390984,0.07568243630516291,0.04908366662169816
q24-23,cgtnjyggtm,0.01980782874930142,0.014999765085193984,0.004808063664107435,0.11641744730868386,0.09158710386308777
q8-32,ykhs7s2dck,0.0062828495558563124,0.0014912784870272575,0.004791571068829055,0.07045850753137628,0.0022512928462739
c24-40,xcmzfsbd9t,0.015026206048822925,0.010391466972514364,0.004634739076308561,0.0799017353409352,0.07576996812429537
q24-43,cgtnjyggtm,0.04484414247884556,0.04022669402634636,0.004617448452499194,0.2141554774513737,0.1864078256547208
c24-27,xcmzfsbd9t,0.0067572316932882435,0.0021531941953079553,0.004604037497980288,0.020722567123953928,0.008155648866920107
q24-33,cgtnjyggtm,0.007318785954950044,0.002813720443380593,0.004505065511569451,0.05843014211074782,0.006521311684329678
c24-55,xcmzfsbd9t,0.02057414491509374,0.016099285732996675,0.004474859182097064,0.11587514748367655,0.1306458025432759
q8-27,ykhs7s2dck,0.0062502656574872535,0.0018192617231506218,0.004431003934336632,0.057027429981789,0.005441411604025781
q8-13,ykhs7s2dck,0.0356840384864206,0.03142238132559184,0.004261657160828762,0.20233892960687827,0.17475652187737611
c24-57,xcmzfsbd9t,0.009333545862327215,0.0051503862953150605,0.004183159567012155,0.05623823443666648,0.037931573318439604
q8-15,ykhs7s2dck,0.005618392210166072,0.0014889196980951164,0.0041294725120709554,0.04159500443863973,0.00573862532590641
q16-14,w68dtmpfyf,0.005179907324746682,0.0010796716363450747,0.004100235688401607,0.009563062519372556,0.004739493384386728
c8-17,74t7kcdgkr,0.005075076042221719,0.0011984656159783717,0.003876610426243347,0.024888066983470236,0.006483821891556829
c24-24,xcmzfsbd9t,0.012035645093450547,0.00817335734478291,0.0038622877486676373,0.06744852227019604,0.059797718475400496
c8-15,74t7kcdgkr,0.005721831207971026,0.001891418286292905,0.003830412921678121,0.023728427522582418,0.011368188098398901
c24-59,xcmzfsbd9t,0.008311662713383836,0.004500212387120242,0.0038114503262635935,0.06181695108357388,0.03197800952801633
q8-39,ykhs7s2dck,0.0051627529164013,0.0015113117510732951,0.003651441165328005,0.0540455214241361,0.004391053372204579
q8-6,ykhs7s2dck,0.007346468973066419,0.003711137482148361,0.0036353314909180583,0.020173455911538407,0.025995458227126345
c24-51,xcmzfsbd9t,0.012225861903370248,0.008593832234484892,0.0036320296688853553,0.06642324911306552,0.054395643316134834
q16-28,w68dtmpfyf,0.007019778740443688,0.0034754446143150774,0.0035443341261286107,0.04342249166928658,0.01708717970315554
q24-35,cgtnjyggtm,0.005880217610589867,0.0023900226225052265,0.0034901949880846404,0.009875390086908187,0.008858839151681619
c8-24,74t7kcdgkr,0.007892451042606103,0.004436294065714748,0.0034561569768913544,0.040368442174594454,0.025525641753352035
q24-28,cgtnjyggtm,0.006274740619779539,0.0028874614033576607,0.0033872792164218787,0.03391749730096383,0.018558291207720568
q8-19,ykhs7s2dck,0.005430428645585898,0.0020606122151931895,0.0033698164303927088,0.041355569306000484,0.015616282216506239
q24-19,cgtnjyggtm,0.00643978897279735,0.003138458151416102,0.0033013308213812476,0.0413400725064178,0.017586691963838996
q24-4,cgtnjyggtm,0.006203039526350556,0.0029171082228051873,0.0032859313035453683,0.04592135872525671,0.0078346399606396
c24-26,xcmzfsbd9t,0.006367746986826719,0.003081982744946428,0.003285764241880291,0.05683767273927576,0.019938785260796177
q8-7,ykhs7s2dck,0.0056385624258098194,0.002377196134579731,0.0032613662912300886,0.032689155017501914,0.021846238095234893
