outer_domain,specimen_id,method,nominal_checkpoint,mean_exact_acquired_cost,mean_effective_budget,cai_mae,reconstruction_mse,trajectory_count
74t7kcdgkr,c8-10t,random,0.25,112542.0,0.2473722387075503,0.15909915468829972,0.0005455801693919042,1
74t7kcdgkr,c8-10t,reconstruction_driven,0.03125,14161.0,0.031126497417298605,0.1612292959759618,0.0006947518853549061,1
74t7kcdgkr,c8-10t,reconstruction_driven,0.0625,28303.0,0.06221123200351687,0.16235813966128798,0.0006206312701060404,1
74t7kcdgkr,c8-10t,reconstruction_driven,0.09375,42048.0,0.09242334322453016,0.16251443944863275,0.0005591257301442573,1
74t7kcdgkr,c8-10t,reconstruction_driven,0.125,55477.0,0.1219408726233652,0.1622208975617131,0.0005045598449803102,1
74t7kcdgkr,c8-10t,reconstruction_driven,0.1875,84036.0,0.1847148038245961,0.16086805583255737,0.00046039828141317677,1
74t7kcdgkr,c8-10t,reconstruction_driven,0.25,112284.0,0.2468051434223541,0.1591154841176099,0.00038407594915778064,1
74t7kcdgkr,c8-10t,sequential_mechanical_oracle,0.03125,14161.0,0.031126497417298605,0.1612292959759618,0.0006947518853549061,1
74t7kcdgkr,c8-10t,sequential_mechanical_oracle,0.0625,27171.0,0.05972304648862512,0.16238302833282459,0.0006517594230280252,1
74t7kcdgkr,c8-10t,sequential_mechanical_oracle,0.09375,41967.0,0.09224530168150347,0.16252616828524624,0.000620980196521674,1
74t7kcdgkr,c8-10t,sequential_mechanical_oracle,0.125,56846.0,0.12494999450489065,0.16213840786475564,0.0005964552903804375,1
74t7kcdgkr,c8-10t,sequential_mechanical_oracle,0.1875,84353.0,0.18541158369051544,0.16082866994449962,0.000547612589424401,1
74t7kcdgkr,c8-10t,sequential_mechanical_oracle,0.25,113546.0,0.249579074623585,0.15905843141864418,0.0005226644915526655,1
74t7kcdgkr,c8-10t,uniform,0.03125,14161.0,0.031126497417298605,0.1612292959759618,0.0006947518853549061,1
74t7kcdgkr,c8-10t,uniform,0.0625,27081.0,0.05952522255192878,0.16238284109940093,0.0006626606495536159,1
74t7kcdgkr,c8-10t,uniform,0.09375,41402.0,0.09100340696779866,0.16256076634718342,0.0006505196959353106,1
74t7kcdgkr,c8-10t,uniform,0.125,55695.0,0.12242004615891856,0.16219389582725185,0.0006259012229340159,1
74t7kcdgkr,c8-10t,uniform,0.1875,84481.0,0.18569293328937245,0.1608114444695189,0.0006048048819275437,1
74t7kcdgkr,c8-10t,uniform,0.25,112294.0,0.2468271238597648,0.15918984253445223,0.0005502463207591456,1
74t7kcdgkr,c8-11,global_mechanical,0.03125,3720.0,0.03126681011296396,0.18834576007349646,0.003663424665221312,1
74t7kcdgkr,c8-11,global_mechanical,0.0625,7370.0,0.061945266272189346,0.1885721921518343,0.003235734761054165,1
74t7kcdgkr,c8-11,global_mechanical,0.09375,11147.0,0.09369116460462615,0.18818189070630775,0.002836142412433336,1
74t7kcdgkr,c8-11,global_mechanical,0.125,14848.0,0.12479827864443249,0.18761875943688666,0.002825084404303196,1
74t7kcdgkr,c8-11,global_mechanical,0.1875,22234.0,0.18687802582033353,0.18596887188102473,0.0020096687599016586,1
74t7kcdgkr,c8-11,global_mechanical,0.25,29744.0,0.25,0.18436667535294338,0.0014088850169832335,1
74t7kcdgkr,c8-11,mavis_full,0.03125,3720.0,0.03126681011296396,0.18834576007349646,0.003663424665221312,1
74t7kcdgkr,c8-11,mavis_full,0.0625,7060.0,0.059339698762775686,0.18880250263680598,0.0033788433911537455,1
74t7kcdgkr,c8-11,mavis_full,0.09375,11143.0,0.09365754437869822,0.18844928678298867,0.003042822740553643,1
74t7kcdgkr,c8-11,mavis_full,0.125,14506.0,0.12192374932759548,0.18790406305316332,0.0030330008778571465,1
74t7kcdgkr,c8-11,mavis_full,0.1875,21994.0,0.18486081226465842,0.18643395970550491,0.0029166156094223706,1
74t7kcdgkr,c8-11,mavis_full,0.25,29578.0,0.2486047606239914,0.18486625424883307,0.0025039784580308936,1
74t7kcdgkr,c8-11,mavis_no_feedback,0.03125,3720.0,0.03126681011296396,0.18834576007349646,0.003663424665221312,1
74t7kcdgkr,c8-11,mavis_no_feedback,0.0625,7421.0,0.06237392415277031,0.18861679382812369,0.00360597557097424,1
74t7kcdgkr,c8-11,mavis_no_feedback,0.09375,11126.0,0.09351465841850458,0.18842002487362708,0.0034922370066767195,1
74t7kcdgkr,c8-11,mavis_no_feedback,0.125,14762.0,0.12407544378698225,0.1879190551008756,0.003329611367939822,1
74t7kcdgkr,c8-11,mavis_no_feedback,0.1875,22048.0,0.1853146853146853,0.18635902621457545,0.00322750179118292,1
74t7kcdgkr,c8-11,mavis_no_feedback,0.25,29740.0,0.24996637977407207,0.18463582339951756,0.0031344217634808533,1
74t7kcdgkr,c8-11,mavis_positions_only,0.03125,3720.0,0.03126681011296396,0.18834576007349646,0.003663424665221312,1
74t7kcdgkr,c8-11,mavis_positions_only,0.0625,7364.0,0.06189483593329747,0.18867886170808157,0.003249613972764093,1
74t7kcdgkr,c8-11,mavis_positions_only,0.09375,10960.0,0.09211941904249596,0.1884222181794476,0.0032333372248863333,1
74t7kcdgkr,c8-11,mavis_positions_only,0.125,14723.0,0.12374764658418505,0.18779445125740069,0.0032194863639500317,1
