specimen_key,author_cai_mpa,v2_oof_label_mpa,difference_mpa,status
yfxyg8jm46:c16-42,322.6684348584548,322.6684348584548,0.0,MATCH
yfxyg8jm46:c16-43,238.6553352985904,238.6553352985904,0.0,MATCH
yfxyg8jm46:c16-5,270.7127797317458,270.7127797317458,0.0,MATCH
yfxyg8jm46:c16-6,219.6837994342798,219.6837994342798,0.0,MATCH
yfxyg8jm46:c16-7,212.4803579257494,212.4803579257494,0.0,MATCH
yfxyg8jm46:c16-8,218.1892094641881,218.1892094641881,0.0,MATCH
yfxyg8jm46:c16-9,180.3346058315191,180.3346058315191,0.0,MATCH
ykhs7s2dck:q8-1,215.8928822124789,215.8928822124789,0.0,MATCH
ykhs7s2dck:q8-10,204.906600890143,204.906600890143,0.0,MATCH
ykhs7s2dck:q8-11,219.6601077947857,219.6601077947857,0.0,MATCH
ykhs7s2dck:q8-12,204.9362164504709,204.9362164504709,0.0,MATCH
ykhs7s2dck:q8-13,219.1672187390772,219.1672187390772,0.0,MATCH
ykhs7s2dck:q8-14,218.0580620568724,218.0580620568724,0.0,MATCH
ykhs7s2dck:q8-15,260.0850155733251,260.0850155733251,0.0,MATCH
ykhs7s2dck:q8-16,249.4326190806617,249.4326190806617,0.0,MATCH
ykhs7s2dck:q8-18,208.2050030973844,208.2050030973844,0.0,MATCH
ykhs7s2dck:q8-19,235.0784220332198,235.0784220332198,0.0,MATCH
ykhs7s2dck:q8-2,219.1526517937644,219.1526517937644,0.0,MATCH
ykhs7s2dck:q8-20,255.6756060308722,255.6756060308722,0.0,MATCH
ykhs7s2dck:q8-21,250.9671543115333,250.9671543115333,0.0,MATCH
ykhs7s2dck:q8-22,235.0132049111155,235.0132049111155,0.0,MATCH
ykhs7s2dck:q8-23,238.8462335931557,238.8462335931557,0.0,MATCH
ykhs7s2dck:q8-24,254.0497024640382,254.0497024640382,0.0,MATCH
ykhs7s2dck:q8-27,209.5444780269238,209.5444780269238,0.0,MATCH
ykhs7s2dck:q8-28,213.8646175516721,213.8646175516721,0.0,MATCH
ykhs7s2dck:q8-29,211.5096111534499,211.5096111534499,0.0,MATCH
ykhs7s2dck:q8-3,241.3218047507498,241.3218047507498,0.0,MATCH
ykhs7s2dck:q8-30,226.6302542670445,226.6302542670445,0.0,MATCH
ykhs7s2dck:q8-31,216.0534534358504,216.0534534358504,0.0,MATCH
ykhs7s2dck:q8-32,211.7405147182378,211.7405147182378,0.0,MATCH
ykhs7s2dck:q8-33,215.7657857636589,215.7657857636589,0.0,MATCH
ykhs7s2dck:q8-34,235.4805190684688,235.4805190684688,0.0,MATCH
ykhs7s2dck:q8-35,247.5582458641716,247.5582458641716,0.0,MATCH
ykhs7s2dck:q8-36,252.9675138266728,252.9675138266728,0.0,MATCH
ykhs7s2dck:q8-37,248.3340832029847,248.3340832029847,0.0,MATCH
ykhs7s2dck:q8-38,193.2091135987033,193.2091135987033,0.0,MATCH
ykhs7s2dck:q8-39,198.2797171980924,198.2797171980924,0.0,MATCH
ykhs7s2dck:q8-4,235.4869954902518,235.4869954902518,0.0,MATCH
ykhs7s2dck:q8-40,225.8678897352215,225.8678897352215,0.0,MATCH
ykhs7s2dck:q8-41,241.962247693815,241.962247693815,0.0,MATCH
ykhs7s2dck:q8-5,236.006094483136,236.006094483136,0.0,MATCH
ykhs7s2dck:q8-6,242.754723771123,242.754723771123,0.0,MATCH
ykhs7s2dck:q8-7,190.5686208304814,190.5686208304814,0.0,MATCH
ykhs7s2dck:q8-8,184.3980989218149,184.3980989218149,0.0,MATCH
ykhs7s2dck:q8-9,212.1586381755976,212.1586381755976,0.0,MATCH
