specimen_id,dataset_id,initial_budget,cell_index,row,column,boundary_or_interior,native_height,native_width,native_count,added_measurements,added_fraction,grid_state_sha256,candidate_bank_state_sha256
c8-3,74t7kcdgkr,0.015625,11,1,3,interior,338,352,118976,464,0.0038999462076385154,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,12,1,4,interior,338,352,118976,448,0.0037654653039268424,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,13,1,5,interior,338,352,118976,464,0.0038999462076385154,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,14,1,6,interior,338,352,118976,476,0.00400080688542227,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,15,1,7,boundary,338,352,118976,476,0.00400080688542227,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,16,2,0,boundary,338,352,118976,464,0.0038999462076385154,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,17,2,1,interior,338,352,118976,464,0.0038999462076385154,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,18,2,2,interior,338,352,118976,464,0.0038999462076385154,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,19,2,3,interior,338,352,118976,464,0.0038999462076385154,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,20,2,4,interior,338,352,118976,448,0.0037654653039268424,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,21,2,5,interior,338,352,118976,464,0.0038999462076385154,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,22,2,6,interior,338,352,118976,476,0.00400080688542227,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,23,2,7,boundary,338,352,118976,476,0.00400080688542227,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,24,3,0,boundary,338,352,118976,464,0.0038999462076385154,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,25,3,1,interior,338,352,118976,464,0.0038999462076385154,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,26,3,2,interior,338,352,118976,464,0.0038999462076385154,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,27,3,3,interior,338,352,118976,464,0.0038999462076385154,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,28,3,4,interior,338,352,118976,448,0.0037654653039268424,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,29,3,5,interior,338,352,118976,464,0.0038999462076385154,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,30,3,6,interior,338,352,118976,476,0.00400080688542227,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,31,3,7,boundary,338,352,118976,476,0.00400080688542227,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,32,4,0,boundary,338,352,118976,457,0.0038411108122646583,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,33,4,1,interior,338,352,118976,457,0.0038411108122646583,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,34,4,2,interior,338,352,118976,457,0.0038411108122646583,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,35,4,3,interior,338,352,118976,457,0.0038411108122646583,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-3,74t7kcdgkr,0.015625,36,4,4,interior,338,352,118976,442,0.003715034965034965,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
