outer_domain,specimen_id,dataset_id,method,nominal_checkpoint,budgeted_regret,selected_mechanical_value,oracle_mechanical_value,value_capture
74t7kcdgkr,c8-11,74t7kcdgkr,observed_uncertainty,0.09375,0.05308395114592368,0.03951716294778407,0.09260111409370775,0.426746085449843
74t7kcdgkr,c8-11,74t7kcdgkr,observed_uncertainty,0.125,0.07472154889059202,0.025032302417198005,0.09975385130779002,0.2509407114514402
74t7kcdgkr,c8-11,74t7kcdgkr,observed_uncertainty,0.1875,0.06648662007228945,0.02610269437995305,0.0925893144522425,0.28191908034287044
74t7kcdgkr,c8-11,74t7kcdgkr,observed_uncertainty,0.25,0.0,0.028310093266504133,0.028310093266504133,1.0
74t7kcdgkr,c8-11,74t7kcdgkr,random_median,0.0625,0.07362477128057082,0.0009369851189498513,0.07456175639952067,0.01256656447213031
74t7kcdgkr,c8-11,74t7kcdgkr,random_median,0.09375,0.08746145562094809,0.005139658472759656,0.09260111409370775,0.05550320342321774
74t7kcdgkr,c8-11,74t7kcdgkr,random_median,0.125,0.08795867888352676,0.011795172424263256,0.09975385130779002,0.11824277729257099
74t7kcdgkr,c8-11,74t7kcdgkr,random_median,0.1875,0.07314668608488872,0.019442628367353776,0.0925893144522425,0.20998782075854194
74t7kcdgkr,c8-11,74t7kcdgkr,random_median,0.25,0.0,0.028310093266504133,0.028310093266504133,1.0
74t7kcdgkr,c8-12,74t7kcdgkr,global_mechanical,0.0625,0.08982197501105627,-0.08089965694151968,0.008922318069536583,-9.067111966982537
74t7kcdgkr,c8-12,74t7kcdgkr,global_mechanical,0.09375,0.11882571472051329,-0.10419117380056908,0.014634540919944206,-7.119538246572227
74t7kcdgkr,c8-12,74t7kcdgkr,global_mechanical,0.125,0.14590932217980612,-0.13136477662233748,0.014544545557468647,-9.03189282217769
74t7kcdgkr,c8-12,74t7kcdgkr,global_mechanical,0.1875,0.14907861173907055,-0.16097495831892095,-0.011896346579850392,13.531461717127055
74t7kcdgkr,c8-12,74t7kcdgkr,global_mechanical,0.25,0.0,-0.17413209389398665,-0.17413209389398665,1.0
74t7kcdgkr,c8-12,74t7kcdgkr,o1_candidate_mlp_huber,0.0625,0.07430736242449476,-0.06538504435495818,0.008922318069536583,-7.328257504986506
74t7kcdgkr,c8-12,74t7kcdgkr,o1_candidate_mlp_huber,0.09375,0.10920607795541826,-0.09457153703547405,0.014634540919944206,-6.46221412429756
74t7kcdgkr,c8-12,74t7kcdgkr,o1_candidate_mlp_huber,0.125,0.1131549662556035,-0.09861042069813486,0.014544545557468647,-6.779890118154861
74t7kcdgkr,c8-12,74t7kcdgkr,o1_candidate_mlp_huber,0.1875,0.12440715905961508,-0.13630350563946547,-0.011896346579850392,11.457593701105807
74t7kcdgkr,c8-12,74t7kcdgkr,o1_candidate_mlp_huber,0.25,0.0,-0.17413209389398665,-0.17413209389398665,1.0
74t7kcdgkr,c8-12,74t7kcdgkr,o1_candidate_ridge,0.0625,0.11388929346415289,-0.1049669753946163,0.008922318069536583,-11.764540848751448
74t7kcdgkr,c8-12,74t7kcdgkr,o1_candidate_ridge,0.09375,0.13317294769681287,-0.11853840677686867,0.014634540919944206,-8.099906066429625
74t7kcdgkr,c8-12,74t7kcdgkr,o1_candidate_ridge,0.125,0.16229976973446814,-0.1477552241769995,0.014544545557468647,-10.158806515692541
