initial_checkpoint,current_checkpoint,metric,statistical_unit,contrast,left_source,right_source,estimate,bootstrap_mean,ci95_lower,ci95_upper,fraction_above_zero,bootstrap_replicates,seed
0.03125,0.125,dynamic_vs_initial_opportunity,physical_specimen_within_domain,real_minus_shuffled,real,shuffled,0.00007670305126143923,0.00007869121014075516,-0.0000613386524121238,0.000217623533285933,0.8612,5000,20250826
0.03125,0.125,dynamic_vs_initial_opportunity,physical_specimen_within_domain,real_minus_static,real,static,0.00006378378410267581,0.0000645871795211245,-0.00005386180682369189,0.0001811294543672603,0.857,5000,20250826
0.03125,0.125,dynamic_vs_initial_opportunity,physical_specimen_within_domain,shuffled,shuffled,zero,-0.00006381520385681886,-0.00006509173528322834,-0.00018268738285040641,0.000056722131809135326,0.1446,5000,20250826
0.03125,0.125,dynamic_vs_initial_opportunity,physical_specimen_within_domain,static,static,zero,-0.00005089593669805544,-0.00005098770466359768,-0.0001362693424869649,0.00003361760762233261,0.1196,5000,20250826
0.03125,0.125,dynamic_vs_initial_opportunity,physical_specimen_within_domain,teacher,teacher,zero,0.0059918621555857116,0.0059896847286498795,0.00539643020393471,0.0065891516204071065,1,5000,20250826
0.03125,0.125,mean_absolute_value_shift,physical_specimen_within_domain,positions_only,positions_only,zero,0.005975635299978536,0.005974951385233346,0.005749003388336209,0.006204490972768911,1,5000,20250826
0.03125,0.125,mean_absolute_value_shift,physical_specimen_within_domain,real,real,zero,0.003940125675593281,0.0039392875170809905,0.0038080689264472383,0.0040709141795212565,1,5000,20250826
0.03125,0.125,mean_absolute_value_shift,physical_specimen_within_domain,real_minus_positions_only,real,positions_only,-0.002035509624385255,-0.0020356638681523565,-0.0022572845339377287,-0.0018134263435864062,0,5000,20250826
0.03125,0.125,mean_absolute_value_shift,physical_specimen_within_domain,real_minus_shuffled,real,shuffled,0.0015215079829452066,0.001521374701576111,0.0013954706124393076,0.0016476190311882763,1,5000,20250826
0.03125,0.125,mean_absolute_value_shift,physical_specimen_within_domain,real_minus_static,real,static,0.0013068899689738186,0.0013062226891566986,0.0011721357500420447,0.0014426801762084033,1,5000,20250826
