outer_domain,domain_id,initial_checkpoint,current_checkpoint,value_source,specimen_count,trajectory_count,state_pair_count,common_candidate_count,rank_spearman,top_k_jaccard,best_action_turnover,mean_absolute_value_shift,dynamic_vs_initial_opportunity,top_k
yfxyg8jm46,yfxyg8jm46,0.03125,0.09375,shuffled,42,210,210,48.46666666666666,0.9846343524285243,0.7772108843537414,0.20476190476190476,0.0025537222683994216,-0.0003842342233208922,5
yfxyg8jm46,yfxyg8jm46,0.03125,0.09375,static,42,210,210,48.46666666666666,0.987704431837844,0.7442176870748299,0.5238095238095238,0.0030262789287160354,0.0002882608534805164,5
yfxyg8jm46,yfxyg8jm46,0.03125,0.09375,teacher,42,210,210,48.46666666666666,0.5491145435497728,0.3294973544973545,0.7,0.0021982359882602555,0.004866405013907633,5
yfxyg8jm46,yfxyg8jm46,0.03125,0.125,positions_only,42,210,210,42.1,0.9900481214469423,0.8809523809523809,0.047619047619047616,0.0043799178796158815,0.00001306155734612341,5
yfxyg8jm46,yfxyg8jm46,0.03125,0.125,real,42,210,210,42.1,0.981833513107768,0.8280045351473921,0.11904761904761904,0.002046432376190264,-0.00008120566056566863,5
yfxyg8jm46,yfxyg8jm46,0.03125,0.125,shuffled,42,210,210,42.1,0.9723488955067681,0.7142290249433106,0.25238095238095243,0.003623421909693395,-0.00042298761861816363,5
yfxyg8jm46,yfxyg8jm46,0.03125,0.125,static,42,210,210,42.1,0.979716939848823,0.8458049886621316,0.3952380952380953,0.004185568852643162,0.00018670853587077633,5
yfxyg8jm46,yfxyg8jm46,0.03125,0.125,teacher,42,210,210,42.1,0.49728315632160414,0.3091269841269841,0.7285714285714286,0.002438295259628429,0.0052336855698497204,5
yfxyg8jm46,yfxyg8jm46,0.03125,0.1875,positions_only,42,210,210,31.17142857142857,0.9724448079539837,0.8653061224489795,0.11428571428571428,0.007812709383911397,-0.00008617297287313837,5
yfxyg8jm46,yfxyg8jm46,0.03125,0.1875,real,42,210,210,31.17142857142857,0.954583928002724,0.7642857142857143,0.3,0.002924056689315457,-0.00030858007227784596,5
yfxyg8jm46,yfxyg8jm46,0.03125,0.1875,shuffled,42,210,210,31.17142857142857,0.9401275251588647,0.6982426303854875,0.4,0.0056274423828797165,-0.0003545461427943393,5
yfxyg8jm46,yfxyg8jm46,0.03125,0.1875,static,42,210,210,31.17142857142857,0.9612624309633075,0.8462585034013606,0.4333333333333333,0.006900857734400286,-0.00011150567567179667,5
yfxyg8jm46,yfxyg8jm46,0.03125,0.1875,teacher,42,210,210,31.17142857142857,0.4364877010983664,0.3081254724111867,0.7380952380952381,0.0026652007660387285,0.004749199068729983,5
ykhs7s2dck,ykhs7s2dck,0.03125,0.0625,positions_only,38,190,190,53.968421052631584,0.9983203361350519,0.9491228070175438,0,0.002020907331375452,0,5
ykhs7s2dck,ykhs7s2dck,0.03125,0.0625,real,38,190,190,53.968421052631584,0.9959067126768892,0.9245614035087719,0,0.0036858231521043746,0,5
ykhs7s2dck,ykhs7s2dck,0.03125,0.0625,shuffled,38,190,190,53.968421052631584,0.99713609328126,0.856140350877193,0,0.002084750610041793,0,5
ykhs7s2dck,ykhs7s2dck,0.03125,0.0625,static,38,190,190,53.968421052631584,0.9975835527273231,0.9736842105263158,0.005263157894736842,0.0007711460771994497,0.000003631054581111407,5
ykhs7s2dck,ykhs7s2dck,0.03125,0.0625,teacher,38,190,190,53.968421052631584,0.647501356628062,0.40158730158730155,0.531578947368421,0.0015308487626220094,0.00353851333760215,5
