specimen_key,dataset_id,capture_group_id,method,run,seed_panel,training_seed,checkpoint_update,actor_state_dict_sha256,source_row,source,states,action_count,final_cost,native_pixels,target_mpa
xcmzfsbd9t:c24-9t,xcmzfsbd9t,cg_0d1994d0164384d4,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,84,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,278.2536315917969
yfxyg8jm46:c16-12,yfxyg8jm46,cg_5a80e5179694ff19,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,85,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,268.03814697265625
yfxyg8jm46:c16-14,yfxyg8jm46,cg_efd8928c6d17de81,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,86,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,508.2288818359375
yfxyg8jm46:c16-16,yfxyg8jm46,cg_cd055af98e2ea119,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,87,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,499.259765625
yfxyg8jm46:c16-17,yfxyg8jm46,cg_f64812b6759e7d2b,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,88,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,512.5420532226562
yfxyg8jm46:c16-24,yfxyg8jm46,cg_354aea2e84731e86,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,89,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,523.44140625
yfxyg8jm46:c16-39,yfxyg8jm46,cg_514ca9d914207c05,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,90,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,234.76339721679688
yfxyg8jm46:c16-42,yfxyg8jm46,cg_cb9c6f640f08aee7,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,91,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,322.6684265136719
yfxyg8jm46:c16-5,yfxyg8jm46,cg_7f9fe4a18a151cd4,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,92,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,270.7127685546875
ykhs7s2dck:q8-15,ykhs7s2dck,cg_60c6812942ba2332,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,93,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,260.08502197265625
