comparator,specimen_key,dataset_id,capture_group_id,area_gain,early_area_gain
RANDOM,xcmzfsbd9t:c24-42,xcmzfsbd9t,cg_a5c5defb812088ae,14.262740780236836,13.243132004439879
RANDOM,xcmzfsbd9t:c24-47,xcmzfsbd9t,cg_954e3ed61c8db0a4,-4.471949247084158,2.5339847399900997
RANDOM,xcmzfsbd9t:c24-50,xcmzfsbd9t,cg_59e95410b683945f,9.484579110443775,16.267612201399295
RANDOM,xcmzfsbd9t:c24-51,xcmzfsbd9t,cg_7e1c8f7865d73e78,20.541033884566858,23.16228572666273
RANDOM,xcmzfsbd9t:c24-52,xcmzfsbd9t,cg_b98b3f9ca1bfb997,-5.431438775922516,-10.220904045033706
RANDOM,xcmzfsbd9t:c24-56,xcmzfsbd9t,cg_06ec34425b30c2e6,0.6603956328476954,9.992854278661717
RANDOM,xcmzfsbd9t:c24-9t,xcmzfsbd9t,cg_0d1994d0164384d4,-0.6763159709611486,-0.18741905991021923
RANDOM,yfxyg8jm46:c16-12,yfxyg8jm46,cg_5a80e5179694ff19,-1.0086594540941611,5.631303934967853
RANDOM,yfxyg8jm46:c16-14,yfxyg8jm46,cg_efd8928c6d17de81,-4.588443174237042,-23.929149082692373
RANDOM,yfxyg8jm46:c16-16,yfxyg8jm46,cg_cd055af98e2ea119,15.513493674587153,32.95681019084665
RANDOM,yfxyg8jm46:c16-17,yfxyg8jm46,cg_f64812b6759e7d2b,-8.924025142781616,-26.402438032741195
RANDOM,yfxyg8jm46:c16-24,yfxyg8jm46,cg_354aea2e84731e86,5.926129289163583,4.852097422922498
RANDOM,yfxyg8jm46:c16-39,yfxyg8jm46,cg_514ca9d914207c05,5.2466730301401405,10.914379624169404
RANDOM,yfxyg8jm46:c16-42,yfxyg8jm46,cg_cb9c6f640f08aee7,14.908529015398202,20.53514951227953
RANDOM,yfxyg8jm46:c16-5,yfxyg8jm46,cg_7f9fe4a18a151cd4,11.5017995878346,16.144733160226654
RANDOM,ykhs7s2dck:q8-15,ykhs7s2dck,cg_60c6812942ba2332,16.71906776489433,11.016740399563673
RANDOM,ykhs7s2dck:q8-2,ykhs7s2dck,cg_93e604617899fa5f,5.530687053549197,10.054580869133648
RANDOM,ykhs7s2dck:q8-22,ykhs7s2dck,cg_ca08b9786e924e66,-14.303602125373068,-10.952253352177692
RANDOM,ykhs7s2dck:q8-33,ykhs7s2dck,cg_a841812423416444,-2.911290120831767,4.010518417725658
RANDOM,ykhs7s2dck:q8-34,ykhs7s2dck,cg_f28b9720dbc7e026,3.0895579239933006,5.350947693293689
RANDOM,ykhs7s2dck:q8-37,ykhs7s2dck,cg_a064df3d047f4519,11.255673780096451,14.916217108658056
RANDOM,ykhs7s2dck:q8-8,ykhs7s2dck,cg_8fd87d72a8d71b83,-9.363251663531663,-10.283721924217183
LEARNED_STATIC_TRUE,74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,-1.9570239140437211,-2.0666379307854097
LEARNED_STATIC_TRUE,74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,3.626720275772655,-8.982201814900478
LEARNED_STATIC_TRUE,74t7kcdgkr:c8-16,74t7kcdgkr,cg_f6941b7d17a6b65f,-5.287464006412668,-21.914703549718013
LEARNED_STATIC_TRUE,74t7kcdgkr:c8-2,74t7kcdgkr,cg_8ffe4fd6a878d7f3,20.312120339233957,37.13066022576167
LEARNED_STATIC_TRUE,74t7kcdgkr:c8-21,74t7kcdgkr,cg_49d6f1237b716b24,12.862675094227168,8.017653556645133
LEARNED_STATIC_TRUE,74t7kcdgkr:c8-28,74t7kcdgkr,cg_a983245f10699099,-16.76477766285808,20.059445313787922
